id;x;y
0;3624.293;-3510.433
1;3134.481;-3005.55
2;2646.653;-2503.402
3;2158.945;-1999.927
4;1672.288;-1496.453
5;1184.58;-992.978
6;697.923;-491.606
7;3620.526;-2496.899
8;3039.432;-3099.36
9;3616.876;-1498.436
10;3135.541;-2001.494
11;2404.591;-2755.993
12;2157.801;-3008.434
13;1916.663;-3260.876
14;1427.793;-3764.817
15;1302.142;-3889.038
16;3719.948;-2390.973
17;2545.013;-1393.135
18;2646.671;-1497.553
19;3391.049;-2267.84
20;3680.791;-2557.437
21;3375.737;-1242.227
22;3821.307;-1710.856
23;3798.081;-1316.018
24;2495.114;-1651.631
25;2808.662;-1333.437
26;2290.727;-1865.308
27;1914.779;-2252.994
28;1671.757;-2505.435
29;1426.851;-2756.935
30;1183.829;-3008.434
31;1789.049;-2132.405
32;2154.975;-2506.377
33;2550.856;-2912.792
34;2281.436;-3145.05
35;1183.829;-2000.552
36;1072.279;-1886.211
37;2543.634;-3899.889
38;2403.531;-3759.106
39;1254.602;-2580.663
40;2703.892;-3453.953
41;2648.437;-3510.433
42;2316.021;-3848.792
43;2590.085;-3453.953
44;2889.575;-3766.642
45;1201.182;-3521.308
46;1628.537;-3967.244
47;450.995;-2755.993
48;694.959;-2504.493
49;939.865;-2252.052
50;1425.909;-1748.11
51;1914.779;-1245.111
52;2158.743;-992.67
53;2402.707;-740.228
54;207.973;-2000.552
55;450.995;-1748.11
56;694.017;-1495.669
57;939.865;-1244.169
58;1426.851;-742.112
59;448.169;-742.524
60;937.981;-235.757
61;451.966;-237.241
62;450.053;-1241.756
63;937.981;-1749.052
64;207.031;-991.198
65;207.031;-1494.197
66;694.959;-2000.552
67;1112.924;-2429.695
68;2048.924;-877.05
69;2309.053;-1148.792
70;1291.763;-1610.985
71;1550.731;-1878.082
72;622.86;-2426.211
73;697.182;-2514.469
74;808.666;-2625.953
