id;x;y
0;1208.268;-681.45
1;1249.242;-603.74
2;1264.785;-564.178
3;1287.862;-514.255
4;1318.946;-526.971
5;1346.734;-476.106
6;1382.999;-412.996
7;1410.315;-356.95
8;1440.928;-305.614
9;1430.096;-265.581
10;1390.063;-344.234
11;1420.677;-361.66
12;1421.148;-429.009
13;1438.574;-395.099
14;1472.013;-405.931
15;1501.684;-342.35
16;1338.256;-245.329
17;1277.501;-354.124
18;1252.539;-336.698
19;1267.61;-312.208
20;1216.274;-314.092
21;1243.12;-267.465
22;1238.881;-420.531
23;1276.559;-439.841
24;1224.752;-542.042
25;1214.39;-404.518
