id;x;y
0;441.814;-660.658
1;431.913;-644.156
2;427.292;-623.033
3;420.032;-602.57
4;417.391;-579.468
5;414.751;-568.246
6;396.269;-559.665
7;382.407;-549.764
8;384.387;-520.72
9;384.387;-497.617
10;382.407;-481.775
11;389.668;-468.574
12;392.968;-450.752
13;392.968;-436.23
14;390.328;-417.087
15;385.707;-411.147
16;360.624;-403.226
17;352.043;-395.305
18;338.841;-370.882
19;326.96;-349.759
20;315.078;-329.957
21;307.818;-318.075
22;294.616;-318.075
23;285.553;-314.472
24;276.134;-310.814
25;259.632;-306.194
26;250.39;-297.613
27;238.509;-286.391
28;223.987;-280.45
29;208.145;-262.628
30;197.584;-251.407
31;185.042;-244.806
32;182.402;-232.264
33;178.441;-215.102
34;166.56;-205.861
35;162.599;-193.65
36;163.92;-184.408
37;167.55;-177.808
38;166.23;-171.537
39;161.939;-167.246
40;448.087;-508.983
41;441.981;-520.039
42;437.526;-533.736
43;434.721;-540.667
44;431.09;-546.442
45;423.169;-550.073
46;420.364;-559.314
47;417.723;-565.915
48;368.224;-545.634
49;356.389;-540.343
50;339.913;-534.356
51;333.76;-533.486
52;320.951;-542.026
53;306.656;-549.451
54;295.702;-557.249
55;293.289;-560.033
56;292.732;-570.244
57;285.863;-574.885
58;283.821;-585.467
59;285.677;-592.707
60;289.205;-600.319
61;294.217;-608.673
62;296.074;-616.47
63;294.217;-621.483
64;293.66;-627.238
65;293.289;-635.778
66;291.804;-643.575
67;289.205;-649.701
68;286.791;-656.013
69;317.69;-518.389
70;304.713;-507.076
71;285.415;-501.086
72;270.109;-502.417
73;251.808;-502.417
74;240.827;-489.44
75;236.169;-475.798
76;229.847;-466.814
77;229.514;-454.17
78;224.856;-443.855
79;224.856;-438.199
80;233.174;-430.213
81;233.507;-420.896
82;224.523;-417.236
83;213.543;-418.9
84;205.557;-409.25
85;204.892;-397.105
86;202.063;-388.454
87;198.403;-385.293
88;191.249;-384.045
89;187.506;-382.631
90;238.873;-501.71
91;225.813;-498.175
92;219.615;-497.676
93;205.183;-496.927
94;195.533;-497.26
95;184.22;-500.254
96;180.893;-507.907
97;172.907;-513.897
98;163.258;-517.89
99;158.599;-524.544
100;153.275;-534.194
101;144.291;-543.843
102;134.642;-547.836
103;128.32;-548.834
104;345.609;-405.346
105;322.317;-408.008
106;310.672;-407.342
107;304.349;-398.691
108;302.02;-389.042
109;295.033;-384.716
110;281.39;-388.043
111;275.734;-388.709
112;269.745;-387.378
113;297.695;-410.67
114;389.198;-399.689
115;385.871;-380.723
116;387.867;-363.421
117;393.524;-337.467
118;393.191;-322.826
119;386.203;-311.513
120;199.537;-484.205
121;190.22;-473.225
122;182.234;-470.23
123;173.583;-469.232
124;168.592;-460.913
125;150.624;-461.579
126;134.985;-441.947
127;133.987;-439.285
128;330.671;-340.707
129;331.849;-326.696
130;333.144;-309.034
131;333.556;-297.79
132;335.594;-285.507
133;336.772;-279.62
134;343.248;-274.086
135;347.251;-269.612
136;353.609;-266.433
137;354.198;-259.957
138;354.433;-253.599
139;359.261;-249.831
140;366.796;-245.71
141;369.033;-241.707
142;367.974;-234.171
143;368.445;-230.404
144;371.388;-227.46
145;374.803;-223.221
146;377.629;-219.218
147;379.277;-216.628
148;381.161;-212.742
149;381.867;-210.505
150;382.809;-205.56
151;381.514;-201.439
152;381.043;-198.024
153;379.277;-187.192
154;379.159;-184.013
155;375.274;-180.481
156;371.977;-179.774
157;370.917;-178.361
158;334.652;-270.672
159;332.298;-257.602
160;327.706;-252.893
161;324.291;-247.005
162;324.997;-243.002
163;328.059;-234.525
164;328.648;-227.342
165;327.47;-221.808
166;322.76;-220.395
167;319.817;-217.805
168;318.757;-214.862
169;283.434;-306.584
170;279.902;-293.632
171;281.197;-286.685
172;283.434;-282.682
173;282.374;-278.678
174;279.195;-274.322
175;277.194;-273.38
176;268.834;-272.909
177;265.066;-272.909
178;259.061;-271.261
179;257.766;-269.73
180;256.353;-266.315
181;256.235;-262.312
182;256.706;-256.896
183;261.416;-252.539
184;263.889;-248.183
185;265.537;-242.767
186;265.655;-239.823
187;265.184;-236.291
188;264.242;-234.171
189;261.416;-228.167
190;258.826;-223.575
191;257.06;-216.392
192;256.942;-214.391
193;257.06;-212.507
