from_id;to_id;flag
6;10192;srf
10192;8564;srf
3789;12566;dpl
3789;5924;dpl
12566;5797;dpl
5797;10203;dpl
10203;4673;dpl
4673;9495;dpl
9495;10894;dpl
10894;12486;dpl
12486;11954;dpl
11954;5047;dpl
5047;9167;dpl
9167;5754;dpl
5754;8494;dpl
8494;4258;dpl
4258;7997;dpl
7997;556;dpl
556;10308;dpl
10308;11775;dpl
11775;11400;dpl
11400;11584;dpl
11584;11411;dpl
11411;1144;dpl
1144;15;dpl
15;235;dpl
235;3386;dpl
3386;2090;dpl
2090;10680;dpl
10680;9611;dpl
9611;8752;dpl
8752;2231;dpl
2231;11607;dpl
11607;7396;dpl
7396;965;dpl
965;7;dpl
7;5241;dpl
5241;10828;dpl
10828;3686;dpl
3686;10090;dpl
10090;9562;dpl
9562;9941;dpl
9941;3086;dpl
3086;4879;dpl
4879;2137;dpl
2137;10033;dpl
10033;5755;dpl
5755;7980;dpl
7980;720;dpl
1183;7974;srf
7974;12475;srf
7974;10812;srf
4373;997;srf
2351;7779;srf
7779;8206;srf
8206;997;srf
7851;9322;dpl
7851;9322;srf
9322;11025;dpl
9322;11025;srf
11025;2214;dpl
11025;2214;srf
2214;8553;dpl
2214;8553;srf
8553;8285;dpl
8553;8285;srf
8285;6400;dpl
8285;6400;srf
6400;4608;dpl
6400;4608;srf
4608;12171;dpl
4608;12171;srf
12171;6487;dpl
12171;6487;srf
295;4766;srf
4766;3269;srf
3269;1316;srf
1316;5065;srf
5065;4256;srf
4256;140;srf
140;2164;srf
2164;5486;srf
5486;7270;srf
7270;3988;srf
3988;11467;srf
3988;1409;srf
1409;3708;srf
3579;643;srf
643;9834;srf
1099;4701;srf
4701;628;srf
628;9996;srf
9996;10065;srf
10065;10527;srf
10527;3822;srf
3822;10713;srf
10713;6956;srf
6956;3657;srf
3657;4445;srf
720;6750;dpl
6750;6092;dpl
6092;6881;dpl
6881;11077;dpl
11077;12226;dpl
12226;12130;dpl
12130;2504;dpl
2504;11477;dpl
11477;11457;dpl
7713;990;srf
990;4789;srf
4789;12107;srf
12107;10602;srf
10602;1567;srf
1567;8303;srf
3627;3555;srf
4251;1753;srf
1753;7154;srf
1753;1891;srf
7154;4941;srf
4941;2769;srf
1891;6767;srf
6767;10462;srf
8246;210;srf
7169;6317;srf
6317;8468;srf
7191;11082;dpl
11082;296;dpl
296;1995;dpl
7089;7237;dpl
7089;5870;dpl
5649;5095;srf
8338;3487;dpl
12233;2950;srf
1919;5099;srf
5099;8596;srf
8596;9116;srf
9116;12206;srf
12206;9100;srf
7319;8221;srf
