id;flag
11;inl
73;str
48;str
68;str
1;str
22;inl
22;str
0;str
43;str
29;str
32;str
54;str
47;str
56;str
8;str
34;str
42;str
13;str
28;str
33;str
21;str
10;str
41;str
4;str
70;str
5;con
5;str
67;str
58;str
50;str
26;str
9;str
69;inl
69;str
23;str
25;str
38;str
71;str
53;str
62;str
39;str
46;inl
46;str
65;str
20;str
59;str
44;str
49;str
60;str
72;str
37;str
31;str
52;str
27;str
77;str
30;str
63;str
36;str
12;con
12;str
35;str
75;str
61;str
45;str
76;wtf
15;str
18;oul
18;str
14;str
19;str
40;str
51;str
64;str
55;str
24;smp
24;str
