from_id;to_id;flag
3343;732;dpl
3511;2029;dpl
3511;5347;dpl
2029;6194;dpl
5347;4439;dpl
4439;1188;dpl
1188;2729;dpl
2729;2469;dpl
2469;1427;dpl
3556;2297;srf
3556;5345;srf
3556;5420;srf
2297;3122;srf
3122;3814;srf
3814;6827;srf
3814;335;srf
3814;914;dpl
6827;5095;dpl
5345;4119;srf
4119;1035;srf
1035;6154;srf
6154;6478;srf
6478;2810;srf
2810;5597;srf
5597;1428;srf
1428;3061;srf
3061;186;srf
186;5434;srf
5434;6669;srf
6669;2206;srf
2206;5620;srf
5620;389;srf
389;3426;srf
3426;5094;srf
5094;3466;srf
3466;5298;srf
3466;5545;srf
3466;5819;srf
5545;1622;srf
5819;2000;srf
2000;2228;srf
5420;6618;srf
6618;726;srf
726;335;srf
335;3795;srf
335;2004;srf
914;5881;dpl
5881;1991;dpl
1991;3071;dpl
3071;5043;dpl
5043;5108;dpl
5108;5327;dpl
5327;6444;dpl
6444;2568;dpl
2568;6418;dpl
6418;2691;dpl
4708;7066;dpl
2716;5483;dpl
2691;5066;dpl
5281;6843;dpl
5281;2046;dpl
5095;4020;dpl
4020;7056;dpl
7056;4147;dpl
4147;6791;dpl
6791;1537;dpl
1537;4495;dpl
4495;3360;dpl
3360;3125;dpl
3125;1223;dpl
1223;3197;dpl
3197;3042;dpl
3042;4907;dpl
4907;5514;dpl
5514;3114;dpl
6978;2174;dpl
1522;2174;dpl
2174;661;dpl
661;2183;dpl
2183;2723;dpl
2183;3546;dpl
2183;2266;dpl
2266;5891;dpl
5891;6951;dpl
5891;4963;dpl
6951;2859;dpl
2859;5422;dpl
4963;7060;dpl
7060;4705;dpl
4705;267;dpl
267;6843;dpl
1983;650;dpl
650;3107;dpl
1815;419;dpl
2669;5147;srf
5147;3013;srf
1729;757;srf
6577;6082;dpl
6082;4154;dpl
4154;6058;dpl
6058;1394;dpl
1394;312;dpl
312;581;dpl
581;4479;dpl
4479;5020;dpl
5020;2099;dpl
2099;2178;dpl
2178;3792;dpl
3792;3664;dpl
3664;1778;dpl
1778;730;dpl
730;5598;dpl
5598;6293;dpl
6293;6928;dpl
6928;5273;dpl
5273;5640;dpl
5640;2788;dpl
2788;5342;dpl
5342;25;dpl
25;2271;dpl
2271;1464;dpl
1464;7209;dpl
7209;729;dpl
729;6616;dpl
6616;7274;dpl
7274;4764;dpl
4764;5625;dpl
5625;5728;dpl
5728;5937;dpl
5937;4466;dpl
4466;6509;dpl
6509;3270;dpl
3270;2771;dpl
2771;2898;dpl
2898;3079;dpl
3079;201;dpl
