id;fulladdress
2413;CheddarCatchment.Charterhouse.OldCave.Entrance.-
763;CheddarCatchment.Attborough.sheet_3.40g
763;CheddarCatchment.BoneHole.Bone2.-
4929;CheddarCatchment.Attborough.sheet_3.40h
4929;CheddarCatchment.Charterhouse.2009.RipRiftLadder.-
1633;CheddarCatchment.Attborough.sheet_3.21a
1633;CheddarCatchment.BoweryCorner.-
2732;CheddarCatchment.Attborough.sheet_3.21b
2732;CheddarCatchment.Charterhouse.OldCave.ReadsInlet.-
490;CheddarCatchment.Attborough.sheet_4.70
490;CheddarCatchment.BoneHole.01_BoneSlope2015.-
6513;CheddarCatchment.Attborough.sheet_4.71
6513;CheddarCatchment.Charterhouse.2010b.Skeleton.-
2299;CheddarCatchment.Attborough.sheet_4.72
2299;CheddarCatchment.Attborough.sheet_5.72
2299;CheddarCatchment.Charterhouse.OldCave.Entrance.-
3915;CheddarCatchment.Attborough.sheet_4.73
4511;CheddarCatchment.Attborough.sheet_4.74
5560;CheddarCatchment.Attborough.sheet_4.75
5560;CheddarCatchment.Charterhouse.2010.HighTime.-
3008;CheddarCatchment.Attborough.sheet_4.76
3008;CheddarCatchment.Charterhouse.2008.100Fathom.-
5071;CheddarCatchment.Attborough.sheet_4.77
5071;CheddarCatchment.Charterhouse.2009.Stream.-
4729;CheddarCatchment.Attborough.sheet_4.78
4729;CheddarCatchment.Charterhouse.2009.Rip_Rift2.-
714;CheddarCatchment.Attborough.sheet_4.79
714;CheddarCatchment.BoneHole.BH_PerforationChoke.-
832;CheddarCatchment.Attborough.sheet_4.80
832;CheddarCatchment.BoneHole.Bone2.-
2698;CheddarCatchment.Attborough.sheet_5.3a
2698;CheddarCatchment.Charterhouse.OldCave.Midsummer.-
6060;CheddarCatchment.Attborough.sheet_5.3b
6060;CheddarCatchment.Charterhouse.2010.PuffPantRift.-
2381;CheddarCatchment.Attborough.sheet_5.3c
2381;CheddarCatchment.Charterhouse.OldCave.Entrance.-
3729;CheddarCatchment.Attborough.sheet_5.3d
3729;CheddarCatchment.Charterhouse.2008.RockNRoll.-
4968;CheddarCatchment.Attborough.sheet_5.3e
554;CheddarCatchment.Attborough.sheet_5.3f
554;CheddarCatchment.BoneHole.BH_FirstPitch.-
5109;CheddarCatchment.Attborough.sheet_5.3g
5109;CheddarCatchment.Charterhouse.2009.Stream.-
5558;CheddarCatchment.Attborough.sheet_5.72a
7344;CheddarCatchment.Attborough.sheet_5.72b
7344;CheddarCatchment.Charterhouse.R66-4.-
1773;CheddarCatchment.Attborough.sheet_5.72c
1773;CheddarCatchment.BridgedRiftCave.-
6348;CheddarCatchment.Attborough.sheet_5.72d
4703;CheddarCatchment.Attborough.sheet_5.72e
4703;CheddarCatchment.Charterhouse.2009.Rip_Rift2.-
2660;CheddarCatchment.Attborough.sheet_5.72f
1096;CheddarCatchment.Attborough.sheet_5.72g
1096;CheddarCatchment.BoneHole.BoneDig.-
1701;CheddarCatchment.Attborough.sheet_5.72h
1701;CheddarCatchment.BoweryCorner.-
331;CheddarCatchment.Attborough.sheet_5.72i
6074;CheddarCatchment.BakeHole.0
6074;CheddarCatchment.Charterhouse.2010.PuffPantRift.-
4506;CheddarCatchment.BakeHole.1
4506;CheddarCatchment.Charterhouse.2009.PortalPool.-
3635;CheddarCatchment.Blackmoor.Ent
3635;CheddarCatchment.Charterhouse.2008.RockNRoll.-
5443;CheddarCatchment.Blackmoor.1
5443;CheddarCatchment.Charterhouse.2010.HighTime.-
7296;CheddarCatchment.Blackmoor.2
7296;CheddarCatchment.Charterhouse.R66-3.-
6188;CheddarCatchment.Blackmoor.3
6188;CheddarCatchment.Charterhouse.2010.SandWorm.-
507;CheddarCatchment.Blackmoor.4
507;CheddarCatchment.BoneHole.01_BoneSlope2015.-
1273;CheddarCatchment.Blackmoor.5
1273;CheddarCatchment.BoneHole.HappyNewYear.HappyNewYear1.-
4896;CheddarCatchment.Blackmoor.6
