id;idsql
506;1
506;1364
422;2
311;14
527;15
416;28
416;1500
416;1711
270;65
471;74
463;85
572;110
213;131
213;1670
430;159
159;170
116;182
497;203
415;213
369;218
462;224
162;229
606;241
432;251
39;261
240;279
202;289
404;301
473;318
391;342
135;355
246;384
470;385
470;1714
553;412
278;426
278;1807
136;467
586;494
566;529
321;560
279;590
274;609
551;613
514;647
106;670
287;709
166;753
503;810
70;840
130;849
571;873
110;907
227;959
487;974
9;1010
472;1049
294;1104
434;1142
421;1182
123;1228
531;1258
388;1302
81;1324
561;1341
561;1808
525;1363
569;1368
439;1402
238;1428
238;1582
578;1470
578;1534
427;1557
440;1583
105;1596
54;1618
193;1651
363;1673
417;1697
544;1704
315;1710
146;1712
32;1715
599;1726
377;1733
89;1753
307;1767
48;1777
535;1781
231;1792
168;1794
217;1804
326;1837
11;1859
224;1879
269;1890
333;1905
359;1910
28;1920
156;1937
437;1946
176;1947
397;1952
119;1977
26;1995
267;2032
410;2046
393;2068
330;2086
351;2095
346;2110
510;2117
41;2118
41;2121
41;2202
41;2314
85;2119
0;2161
71;2172
382;2201
610;2232
36;2235
456;2248
44;2269
521;2288
545;2289
446;2315
379;2389
230;2390
608;2405
465;2470
100;2477
384;2559
14;2577
449;2603
524;2671
195;2719
356;2781
349;2843
292;2854
101;2896
101;2958
320;2936
117;2959
480;2989
394;3002
607;3013
174;3027
77;3043
68;3044
340;3053
354;3077
22;3104
214;3120
210;3143
362;3192
368;3193
51;3201
112;3216
233;3237
6;3259
401;3284
18;3312
350;3324
179;3369
298;3416
387;3417
265;3428
442;3438
590;3447
357;3448
574;3464
57;3475
612;3487
419;3488
23;3497
541;3503
221;3507
86;3519
64;3526
602;3541
155;3549
479;3591
334;3629
580;3669
248;3682
499;3706
160;3712
194;3748
167;3769
205;3787
504;3792
579;3818
198;3838
234;3856
540;3857
108;3879
282;3895
483;3907
594;3925
73;3936
73;4010
144;3945
533;3946
235;3952
370;3970
460;3987
603;3996
565;4009
226;4017
526;4027
512;4032
563;4041
523;4069
280;4070
300;4071
43;4072
242;4093
263;4094
126;4126
611;4153
249;4160
589;4193
589;4879
314;4200
314;4876
489;4223
290;4305
555;4354
555;4643
206;4404
459;4428
165;4441
256;4469
203;4489
203;4966
534;4513
534;4514
189;4515
104;4535
239;4561
365;4571
550;4583
169;4613
338;4624
196;4642
392;4652
583;4653
542;4669
188;4709
454;4715
485;4728
336;4736
575;4758
285;4767
34;4780
386;4829
548;4830
516;4877
438;4878
91;4880
91;4899
27;4900
199;4913
55;4942
444;4956
345;4967
37;4968
536;4969
251;4970
257;4971
469;4972
277;4973
96;4974
254;4975
33;4976
201;4977
443;4978
59;4979
474;4980
445;4981
495;4982
557;4983
562;4984
124;4985
120;4986
255;4987
266;4988
93;4989
600;4990
543;4991
163;4992
52;4993
164;4994
482;4995
488;4996
560;4997
367;4998
181;4999
288;5000
464;5001
436;5002
185;5003
147;5004
313;5005
297;5006
1;5007
496;5008
491;5009
140;5010
408;5011
513;5012
228;5013
549;5014
262;5015
208;5016
148;5017
222;5018
42;5019
305;5020
458;5034
171;5041
220;5073
517;5088
400;5105
596;5119
413;5132
183;5146
53;5156
19;5162
378;5176
150;5193
291;5211
312;5230
481;5232
547;5242
428;5254
358;5263
457;5290
364;5304
113;5369
134;5386
289;5393
115;5415
115;6799
374;5461
374;7003
87;5520
558;5600
247;5674
502;5771
502;6019
502;6131
74;5859
170;5911
170;6023
170;6132
250;6067
211;6078
211;6176
211;6377
593;6079
98;6080
98;6294
433;6088
308;6102
99;6111
99;6415
99;7060
601;6133
138;6138
47;6206
47;6315
309;6226
398;6247
360;6279
402;6295
355;6316
519;6335
82;6378
56;6391
92;6416
304;6419
102;6452
102;6489
131;6488
131;6490
132;6514
132;6557
342;6524
509;6556
556;6582
153;6584
172;6585
373;6589
375;6590
528;6591
65;6592
65;6842
478;6593
546;6594
546;6599
94;6595
241;6598
448;6601
161;6610
145;6611
3;6614
218;6619
451;6620
80;6621
347;6625
276;6646
486;6678
223;6713
396;6786
500;6800
490;6813
216;6824
552;6835
339;6854
529;6866
61;6885
219;6902
173;6907
383;6913
103;6917
283;6920
455;6931
447;6944
62;6945
229;6948
613;6959
127;6960
49;6965
72;6971
537;6976
10;6980
177;6989
595;6995
323;7004
88;7005
190;7006
215;7007
328;7008
399;7009
35;7010
431;7011
302;7012
17;7013
306;7014
366;7015
149;7016
114;7017
7;7018
429;7019
272;7020
212;7021
243;7022
142;7023
597;7024
395;7025
111;7026
343;7027
406;7028
157;7029
46;7030
327;7031
2;7032
21;7033
515;7034
322;7035
507;7036
45;7037
501;7038
423;7039
426;7040
154;7041
435;7042
522;7043
530;7044
25;7045
332;7046
187;7047
371;7048
286;7049
295;7050
158;7051
301;7052
418;7053
12;7054
66;7055
259;7056
175;7057
559;7058
20;7059
8;7061
16;7062
293;7063
508;7064
258;7065
273;7066
75;7067
532;7068
90;7069
151;7070
151;7073
592;7071
186;7072
186;7080
587;7074
318;7075
252;7076
209;7077
538;7078
79;7079
324;7081
152;7082
184;7083
492;7084
303;7085
505;7086
139;7087
76;7088
29;7089
539;7090
197;7091
403;7122
329;7145
69;7309
299;7310
420;7311
316;7312
452;7313
461;7314
475;7315
344;7316
122;7317
13;7318
133;7319
376;7320
141;7321
24;7322
407;7323
585;7324
511;7325
380;7326
143;7327
390;7328
50;7329
125;7330
498;7331
281;7332
582;7333
253;7334
107;7335
337;7336
180;7337
353;7338
38;7339
31;7422
31;7507
484;7430
118;7473
118;7508
598;7519
236;7569
236;7585
609;7586
450;7587
450;7854
450;8146
450;8148
310;7667
310;7855
310;8147
310;8149
260;7694
604;7721
319;7734
30;7760
63;7812
129;7856
121;7865
121;8027
84;7897
84;8028
237;7934
225;7948
225;8230
414;7988
414;8229
275;7990
467;8003
466;8030
424;8051
341;8061
78;8099
584;8112
385;8150
591;8215
381;8231
97;8249
573;8282
588;8308
325;8335
268;8373
244;8393
207;8428
5;8461
5;8711
493;8509
477;8533
567;8590
264;8605
264;8710
60;8668
178;8727
453;8819
405;8872
476;8873
296;8896
331;8913
192;8923
409;8934
411;8946
468;8963
468;9003
372;8970
564;9010
494;9043
284;9059
605;9087
581;9124
191;9126
191;9163
191;9184
128;9164
83;9165
352;9166
204;9167
137;9168
389;9169
261;9170
554;9171
568;9172
182;9173
271;9174
4;9175
335;9176
232;9177
245;9178
570;9179
