id;fulladdress
5585;castleton_model.ProjectX.1.77
5585;castleton_model.peak_speedwell_system.speedwell_mine.whirlpool_to_main_rising.-
908;castleton_model.ProjectX.1.78
908;castleton_model.peak_speedwell_system.speedwell_mine.near_canal.-
519;castleton_model.ProjectX.1.79
519;castleton_model.longcliffe_upper.-
2504;castleton_model.ProjectX.1.80
2504;castleton_model.peak_speedwell_system.speedwell_mine.halfway_house_speedwell.-
5938;castleton_model.ProjectX.1.81
3660;castleton_model.ProjectX.1.82
3660;castleton_model.peak_speedwell_system.speedwell_mine.downstream_assault.-
4521;castleton_model.ProjectX.1.83
4521;castleton_model.peak_speedwell_system.speedwell_mine.short_bypass_to_ds_long_bypass.-
4575;castleton_model.ProjectX.1.84
4575;castleton_model.peak_speedwell_system.speedwell_mine.short_bypass_to_ds_long_bypass.-
6079;castleton_model.ProjectX.1.85
6079;castleton_model.peak_speedwell_system.speedwell_mine.cliff_passage_to_cavern.-
2304;castleton_model.ProjectX.1.86
2304;castleton_model.peak_speedwell_system.speedwell_mine.halfway_house_speedwell.-
2605;castleton_model.ProjectX.1.87
5249;castleton_model.ProjectX.1.88
575;castleton_model.ProjectX.1.89
575;castleton_model.longcliffe.-
163;castleton_model.ProjectX.-
163;castleton_model.ProjectX.1.90
4357;castleton_model.ProjectX.1.91
4357;castleton_model.peak_speedwell_system.speedwell_mine.lower_bung_series.-
3514;castleton_model.ProjectX.1.92
2553;castleton_model.ProjectX.1.93
2553;castleton_model.peak_speedwell_system.speedwell_mine.halfway_house_speedwell.-
5054;castleton_model.ProjectX.1.94
3585;castleton_model.ProjectX.1.95
4005;castleton_model.ProjectX.1.96
3346;castleton_model.ProjectX.1.97
855;castleton_model.ProjectX.1.98
855;castleton_model.peak_speedwell_system.speedwell_mine.near_canal.-
5969;castleton_model.ProjectX.1.99
5969;castleton_model.peak_speedwell_system.speedwell_mine.cliff_passage_to_cavern.-
5222;castleton_model.ProjectX.1.100
1970;castleton_model.ProjectX.6.1
1970;castleton_model.peak_speedwell_system.speedwell_mine.halfway_house_speedwell.-
1832;castleton_model.ProjectX.6.2
1832;castleton_model.peak_speedwell_system.speedwell_mine.halfway_house_speedwell.-
5867;castleton_model.ProjectX.6.3
5867;castleton_model.peak_speedwell_system.speedwell_mine.whirlpool_to_main_rising.-
3059;castleton_model.ProjectX.6.4
2901;castleton_model.ProjectX.6.5
2901;castleton_model.peak_speedwell_system.speedwell_mine.boat_passage.-
2595;castleton_model.ProjectX.6.6
2595;castleton_model.peak_speedwell_system.speedwell_mine.bottomless_pit.-
2084;castleton_model.ProjectX.6.7
2084;castleton_model.peak_speedwell_system.speedwell_mine.halfway_house_speedwell.-
5539;castleton_model.ProjectX.6.8
1231;castleton_model.ProjectX.6.9
1231;castleton_model.peak_speedwell_system.speedwell_mine.oakden_far_canal.-
2774;castleton_model.ProjectX.6.10
3058;castleton_model.ProjectX.6.11
6007;castleton_model.ProjectX.6.12
5495;castleton_model.ProjectX.6.13
5495;castleton_model.peak_speedwell_system.speedwell_mine.treasury_to_downstream_sump.-
112;castleton_model.ProjectX.-
112;castleton_model.ProjectX.6.14
428;castleton_model.ProjectX.-
428;castleton_model.ProjectX.6.15
4066;castleton_model.ProjectX.6.16
4066;castleton_model.peak_speedwell_system.speedwell_mine.bung_to_short_bypass.-
3771;castleton_model.ProjectX.6.17
3771;castleton_model.peak_speedwell_system.speedwell_mine.downstream_assault.-
2226;castleton_model.ProjectX.6.18
1140;castleton_model.ProjectX.6.19
1140;castleton_model.peak_speedwell_system.speedwell_mine.near_canal.-
1893;castleton_model.ProjectX.6.20
1893;castleton_model.peak_speedwell_system.speedwell_mine.halfway_house_speedwell.-
3586;castleton_model.ProjectX.6.21
3586;castleton_model.peak_speedwell_system.speedwell_mine.whirlpool_mining_extension.-
5720;castleton_model.longcliffe_upper.1.0
5720;castleton_model.peak_speedwell_system.speedwell_mine.whirlpool_to_main_rising.-
392;castleton_model.ProjectX.-
392;castleton_model.longcliffe_upper.1.1
3355;castleton_model.longcliffe_upper.1.2
3355;castleton_model.peak_speedwell_system.speedwell_mine.whirlpool_passage.-
4366;castleton_model.longcliffe_upper.1.3
6158;castleton_model.longcliffe_upper.1.4
6158;castleton_model.peak_speedwell_system.speedwell_mine.cliff_passage_to_cavern.-
2522;castleton_model.longcliffe_upper.1.5
4848;castleton_model.longcliffe_upper.1.6
909;castleton_model.longcliffe_upper.1.7
909;castleton_model.peak_speedwell_system.speedwell_mine.near_canal.-
5747;castleton_model.longcliffe_upper.1.8
5747;castleton_model.peak_speedwell_system.speedwell_mine.whirlpool_to_main_rising.-
4877;castleton_model.longcliffe.1.0
1552;castleton_model.longcliffe.1.1
1552;castleton_model.peak_speedwell_system.speedwell_mine.oakden_far_canal.-
2122;castleton_model.longcliffe.1.2
5970;castleton_model.longcliffe.1.3
5970;castleton_model.peak_speedwell_system.speedwell_mine.cliff_passage_to_cavern.-
1340;castleton_model.longcliffe.1.4
1340;castleton_model.peak_speedwell_system.speedwell_mine.oakden_far_canal.-
165;castleton_model.longcliffe.1.5
2153;castleton_model.longcliffe.1.6
5073;castleton_model.longcliffe.1.7
2471;castleton_model.longcliffe.1.8
2471;castleton_model.peak_speedwell_system.speedwell_mine.halfway_house_speedwell.-
5901;castleton_model.longcliffe.1.9
5901;castleton_model.peak_speedwell_system.speedwell_mine.whirlpool_to_main_rising.-
3604;castleton_model.longcliffe.1.10
3604;castleton_model.peak_speedwell_system.speedwell_mine.whirlpool_mining_extension.-
2204;castleton_model.longcliffe.1.11
2204;castleton_model.peak_speedwell_system.speedwell_mine.halfway_house_speedwell.-
1972;castleton_model.longcliffe.1.12
1972;castleton_model.peak_speedwell_system.speedwell_mine.halfway_house_speedwell.-
1996;castleton_model.longcliffe.1.13
1996;castleton_model.peak_speedwell_system.speedwell_mine.halfway_house_speedwell.-
5723;castleton_model.longcliffe.1.14
5723;castleton_model.peak_speedwell_system.speedwell_mine.whirlpool_to_main_rising.-
5913;castleton_model.longcliffe.1.15
5913;castleton_model.peak_speedwell_system.speedwell_mine.whirlpool_to_main_rising.-
4224;castleton_model.longcliffe.1.16
6140;castleton_model.longcliffe.1.17
6140;castleton_model.peak_speedwell_system.speedwell_mine.cliff_passage_to_cavern.-
1572;castleton_model.longcliffe.1.18
1572;castleton_model.peak_speedwell_system.speedwell_mine.oakden_far_canal.-
1515;castleton_model.longcliffe.1.19
1515;castleton_model.peak_speedwell_system.speedwell_mine.oakden_far_canal.-
1508;castleton_model.longcliffe.1.20
1508;castleton_model.peak_speedwell_system.speedwell_mine.oakden_far_canal.-
1420;castleton_model.longcliffe.1.21
1420;castleton_model.peak_speedwell_system.speedwell_mine.oakden_far_canal.-
2686;castleton_model.peak_speedwell_system.speedwell_mine.near_canal.1.0
2686;castleton_model.peak_speedwell_system.speedwell_mine.bottomless_pit.-
2212;castleton_model.peak_speedwell_system.speedwell_mine.near_canal.1.1
2212;castleton_model.peak_speedwell_system.speedwell_mine.halfway_house_speedwell.-
2087;castleton_model.peak_speedwell_system.speedwell_mine.near_canal.1.2
4750;castleton_model.peak_speedwell_system.speedwell_mine.near_canal.1.3
2496;castleton_model.peak_speedwell_system.speedwell_mine.near_canal.1.4
2496;castleton_model.peak_speedwell_system.speedwell_mine.halfway_house_speedwell.-
566;castleton_model.longcliffe.-
566;castleton_model.peak_speedwell_system.speedwell_mine.near_canal.1.5
5615;castleton_model.peak_speedwell_system.speedwell_mine.near_canal.1.6
5615;castleton_model.peak_speedwell_system.speedwell_mine.whirlpool_to_main_rising.-
4062;castleton_model.peak_speedwell_system.speedwell_mine.near_canal.1.7
4062;castleton_model.peak_speedwell_system.speedwell_mine.bung_to_short_bypass.-
2126;castleton_model.peak_speedwell_system.speedwell_mine.near_canal.1.8
2126;castleton_model.peak_speedwell_system.speedwell_mine.halfway_house_speedwell.-
4080;castleton_model.peak_speedwell_system.speedwell_mine.near_canal.1.9
4080;castleton_model.peak_speedwell_system.speedwell_mine.bung_to_short_bypass.-
3972;castleton_model.peak_speedwell_system.speedwell_mine.near_canal.1.10
239;castleton_model.ProjectX.-
239;castleton_model.peak_speedwell_system.speedwell_mine.near_canal.1.11
2326;castleton_model.peak_speedwell_system.speedwell_mine.near_canal.1.12
5776;castleton_model.peak_speedwell_system.speedwell_mine.near_canal.1.13
5776;castleton_model.peak_speedwell_system.speedwell_mine.whirlpool_to_main_rising.-
2930;castleton_model.peak_speedwell_system.speedwell_mine.near_canal.1.14
2892;castleton_model.peak_speedwell_system.speedwell_mine.near_canal.1.15
2892;castleton_model.peak_speedwell_system.speedwell_mine.little_winster_vein.12
2892;castleton_model.peak_speedwell_system.speedwell_mine.boat_passage.-
5245;castleton_model.peak_speedwell_system.speedwell_mine.near_canal.1.16
973;castleton_model.peak_speedwell_system.speedwell_mine.near_canal.1.17
973;castleton_model.peak_speedwell_system.speedwell_mine.near_canal.-
5562;castleton_model.peak_speedwell_system.speedwell_mine.near_canal.1.18
1506;castleton_model.peak_speedwell_system.speedwell_mine.near_canal.1.19
1506;castleton_model.peak_speedwell_system.speedwell_mine.oakden_far_canal.-
5270;castleton_model.peak_speedwell_system.speedwell_mine.near_canal.1.20
4629;castleton_model.peak_speedwell_system.speedwell_mine.near_canal.1.21
4758;castleton_model.peak_speedwell_system.speedwell_mine.near_canal.1.22
6046;castleton_model.peak_speedwell_system.speedwell_mine.near_canal.1.23
6046;castleton_model.peak_speedwell_system.speedwell_mine.cliff_passage_to_cavern.-
1113;castleton_model.peak_speedwell_system.speedwell_mine.near_canal.1.24
1113;castleton_model.peak_speedwell_system.speedwell_mine.near_canal.-
1264;castleton_model.peak_speedwell_system.speedwell_mine.near_canal.1.25
1264;castleton_model.peak_speedwell_system.speedwell_mine.oakden_far_canal.-
4640;castleton_model.peak_speedwell_system.speedwell_mine.near_canal.1.26
4640;castleton_model.peak_speedwell_system.speedwell_mine.short_bypass_to_ds_long_bypass.-
4577;castleton_model.peak_speedwell_system.speedwell_mine.near_canal.1.27
4577;castleton_model.peak_speedwell_system.speedwell_mine.short_bypass_to_ds_long_bypass.-
5037;castleton_model.peak_speedwell_system.speedwell_mine.near_canal.1.28
5578;castleton_model.peak_speedwell_system.speedwell_mine.near_canal.1.29
5578;castleton_model.peak_speedwell_system.speedwell_mine.whirlpool_to_main_rising.-
3888;castleton_model.peak_speedwell_system.speedwell_mine.near_canal.1.30
5085;castleton_model.peak_speedwell_system.speedwell_mine.near_canal.1.93
5085;castleton_model.peak_speedwell_system.speedwell_mine.halfway_house_speedwell.1.89
5111;castleton_model.peak_speedwell_system.speedwell_mine.near_canal.1.31
2409;castleton_model.peak_speedwell_system.speedwell_mine.near_canal.1.32
2409;castleton_model.peak_speedwell_system.speedwell_mine.halfway_house_speedwell.-
2272;castleton_model.peak_speedwell_system.speedwell_mine.near_canal.1.33
5978;castleton_model.peak_speedwell_system.speedwell_mine.near_canal.1.34
5978;castleton_model.peak_speedwell_system.speedwell_mine.cliff_passage_to_cavern.-
