id;flag
13999;ent
13999;fix
9637;ent
9637;con
9637;fix
502;ent
502;con
502;fix
5313;ent
5313;fix
9586;ent
9586;con
9586;fix
4414;ent
4414;fix
10477;con
13061;ent
13061;fix
13061;air
6762;ent
6762;fix
5016;ent
5016;fix
10307;ent
10307;fix
14253;ent
14253;con
14253;fix
12896;ent
12896;fix
12896;air
6153;ent
6153;fix
11337;ent
11337;con
11337;fix
9668;ent
9668;con
9668;fix
3224;con
509;ent
509;con
509;fix
9628;ent
9628;con
9628;fix
9628;air
9596;ent
9596;con
9596;fix
172;ent
172;fix
14221;ent
14221;con
14221;fix
14221;air
14259;ent
14259;con
14259;fix
14259;air
9635;ent
9635;con
9635;fix
9635;air
9608;ent
9608;con
9608;fix
9651;ent
9651;con
9651;fix
9651;air
442;ent
442;fix
14338;ent
14338;con
14338;fix
1444;ent
1444;fix
508;ent
508;con
508;fix
9010;ent
9010;con
9010;fix
9010;air
10202;ent
10202;con
10202;fix
9591;ent
9591;con
9591;fix
3593;con
12098;ent
12098;fix
6804;ent
6804;fix
11301;ent
11301;fix
13313;ent
13313;fix
8997;ent
8997;con
8997;fix
9584;ent
9584;con
9584;fix
10470;ent
10470;con
10470;fix
496;ent
496;con
496;fix
9011;ent
9011;con
9011;fix
9011;air
9638;ent
9638;con
9638;fix
9645;ent
9645;con
9645;fix
4657;ent
4657;fix
3339;ent
5635;ent
5635;fix
9942;ent
9942;con
9942;fix
14339;ent
14339;fix
14345;ent
14345;con
14345;fix
14269;ent
14269;con
14269;fix
14222;ent
14222;con
14222;fix
14222;air
9643;ent
9643;con
9643;fix
3916;ent
3916;fix
14015;con
611;ent
611;fix
834;ent
834;fix
9602;ent
9602;con
9602;fix
9019;ent
9019;con
9019;fix
10216;ent
10216;con
10216;fix
2861;fix
9659;ent
9659;con
9659;fix
9007;ent
9007;con
9007;fix
14240;ent
14240;con
14240;fix
9611;ent
9611;fix
4752;ent
4752;fix
9609;ent
9609;con
9609;fix
14342;ent
14342;con
14342;fix
14332;ent
14332;con
14332;fix
9600;ent
9600;con
9600;fix
14276;ent
14276;con
14276;fix
10465;ent
10465;con
10465;fix
14284;ent
14284;con
14284;fix
438;ent
438;con
438;fix
9658;ent
9658;con
9658;fix
9657;ent
9657;con
9657;fix
10462;ent
10462;con
10462;fix
14283;ent
14283;fix
9625;ent
9625;con
9625;fix
9650;ent
9650;con
9650;fix
9650;air
10215;ent
10215;con
10215;fix
10182;ent
10182;fix
14272;ent
14272;con
14272;fix
9610;ent
9610;fix
9647;ent
9647;con
9647;fix
440;ent
440;con
440;fix
9593;ent
9593;con
9593;fix
8998;ent
8998;con
8998;fix
14348;ent
14348;con
14348;fix
14348;air
10449;ent
10449;con
10449;fix
439;ent
439;con
439;fix
439;air
443;ent
443;fix
9924;ent
9924;con
9924;fix
14285;ent
14285;con
14285;fix
14285;air
10455;ent
10455;con
10455;fix
7656;con
9621;ent
9621;con
9621;fix
5990;ent
5990;fix
2302;ent
2302;fix
9997;ent
9997;fix
10633;ent
10633;fix
4117;ent
4117;fix
533;ent
533;fix
11042;ent
11042;fix
11042;air
11957;ent
11957;fix
14218;ent
14218;con
14218;fix
14218;air
9634;ent
9634;con
9634;fix
9634;air
10468;ent
10468;con
10468;fix
11874;ent
11874;fix
14340;ent
14340;con
14340;fix
9020;ent
9020;con
9020;fix
9616;ent
9616;con
9616;fix
9616;air
10170;ent
10170;fix
10170;ent
10170;con
10170;fix
4967;ent
4967;fix
13650;ent
13650;fix
1402;ent
1402;fix
511;ent
511;con
511;fix
4530;ent
4530;fix
14223;ent
14223;con
14223;fix
14223;air
10214;ent
10214;con
10214;fix
10450;ent
10450;con
10450;fix
13393;ent
13393;fix
2910;ent
2910;fix
6704;ent
6704;fix
3944;ent
3944;fix
9671;ent
9671;con
9671;fix
9671;air
14277;ent
14277;con
14277;fix
5879;con
14025;ent
14025;fix
13923;ent
13923;fix
2680;ent
2680;fix
2890;ent
2890;fix
441;ent
441;fix
441;ent
441;fix
12328;ent
12328;fix
8413;ent
8413;fix
4513;ent
4513;fix
580;ent
580;fix
580;air
12983;ent
12983;fix
1635;ent
1635;fix
3965;ent
3965;fix
14093;ent
14093;fix
8134;ent
8134;fix
9021;ent
9021;con
9021;fix
500;ent
500;con
500;fix
10189;ent
10189;con
10189;fix
510;ent
510;con
510;fix
14225;ent
14225;fix
9583;ent
9583;con
9583;fix
14268;ent
14268;fix
1391;ent
1391;fix
14154;ent
14154;fix
9741;ent
9741;fix
2444;ent
2444;fix
9791;ent
9791;fix
1363;ent
1363;fix
3093;ent
3093;fix
11149;ent
11149;fix
11960;ent
11960;fix
498;ent
498;con
498;fix
498;ent
498;fix
7485;ent
3096;ent
3096;fix
9815;ent
9815;con
9815;fix
6474;ent
6474;fix
5434;ent
5434;fix
12976;ent
12976;fix
8414;ent
8414;fix
2004;ent
2004;fix
9639;ent
9639;con
9639;fix
14279;ent
14279;con
14279;fix
9636;ent
9636;con
9636;fix
9605;ent
9605;con
9605;fix
9654;ent
9654;fix
9654;air
14231;ent
14231;con
14231;fix
14271;fix
9655;ent
9655;fix
9655;air
9666;ent
9666;con
9666;fix
9666;air
9946;ent
9946;con
9946;fix
14235;ent
14235;con
14235;fix
14235;air
3108;ent
3108;fix
9642;ent
9642;con
9642;fix
10469;ent
10469;con
10469;fix
1303;ent
1303;fix
5655;con
5655;air
10977;ent
10977;fix
10977;air
2296;ent
2296;fix
2296;air
1782;ent
1782;fix
3792;ent
3792;con
3792;fix
3792;air
7354;ent
7354;fix
513;ent
513;con
513;fix
8543;ent
8543;fix
8858;ent
8858;fix
8758;ent
8758;fix
14219;ent
14219;con
14219;fix
10165;ent
10165;con
10165;fix
10194;ent
10194;con
10194;fix
14262;ent
14262;con
14262;fix
14248;ent
14248;fix
3157;ent
3157;fix
9670;ent
9670;con
9670;fix
9670;air
9587;ent
9587;fix
8466;ent
8466;fix
9673;ent
9673;con
9673;fix
14258;ent
14258;con
14258;fix
375;ent
9648;fix
9008;ent
9008;con
9008;fix
493;ent
493;con
493;fix
14344;ent
14344;con
14344;fix
9947;ent
9947;fix
4539;ent
4539;fix
10183;ent
10183;fix
9656;ent
9656;con
9656;fix
9664;ent
9664;con
9664;fix
9601;ent
9601;con
9601;fix
9601;air
10179;ent
10179;con
10179;fix
14341;ent
14341;con
14341;fix
501;ent
501;con
501;fix
9009;ent
9009;con
9009;fix
9009;air
494;ent
494;con
494;fix
10451;ent
10451;con
10451;fix
9598;ent
9598;con
9598;fix
9588;ent
9588;con
9588;fix
9588;air
10193;ent
10193;con
10193;fix
9653;ent
9653;fix
9653;air
10457;ent
10457;con
10457;fix
14333;ent
14333;con
14333;fix
14226;ent
14226;con
14226;fix
14226;air
9594;ent
9594;con
9594;fix
188;ent
188;fix
10195;ent
10195;con
10195;fix
14281;ent
14281;con
14281;fix
3405;fix
6241;fix
7881;ent
7881;fix
10783;ent
10783;fix
11336;ent
11336;con
11336;fix
9665;ent
9665;con
9665;fix
9665;air
14349;ent
14349;con
14349;fix
5958;ent
5958;fix
9672;ent
9672;con
9672;fix
495;ent
495;con
495;fix
2939;ent
2939;fix
8996;ent
8996;con
8996;fix
1708;ent
1708;fix
9627;ent
9627;fix
5043;ent
5043;fix
709;ent
709;fix
10213;ent
10213;fix
9686;ent
118;ent
118;fix
5263;ent
5263;fix
504;ent
504;con
504;fix
4422;ent
4422;fix
9617;ent
9617;con
9617;fix
9617;air
13345;ent
13345;fix
13345;air
14334;ent
14334;con
14334;fix
1966;ent
1966;fix
13834;ent
13834;fix
9644;ent
9644;con
9644;fix
1075;ent
1075;fix
14097;ent
14097;fix
9113;ent
9113;fix
9113;air
12631;ent
12631;fix
8146;ent
8146;fix
14066;ent
14066;fix
1123;ent
1123;fix
9126;ent
9126;fix
