from_id;to_id;flag
8674;1470;dpl
1470;7917;dpl
1470;3082;dpl
3082;12472;dpl
12472;5985;dpl
5985;11320;dpl
11320;4260;dpl
4260;13470;dpl
13470;8959;dpl
8959;2741;dpl
2741;2540;dpl
2540;13949;dpl
13949;898;dpl
13949;737;dpl
898;6089;dpl
6089;11175;dpl
11175;505;dpl
505;3114;dpl
3114;12260;dpl
12260;4558;dpl
4558;10535;dpl
10535;7739;dpl
7739;5445;dpl
5445;2038;dpl
2038;5509;dpl
5509;10859;dpl
10859;2207;dpl
2207;12295;dpl
12295;5451;dpl
5451;8544;dpl
8544;13553;dpl
13553;313;dpl
313;2947;dpl
2947;9554;dpl
9554;10237;dpl
10237;3478;dpl
3478;4802;dpl
4802;11824;dpl
11824;9349;dpl
9349;4441;dpl
4441;13549;dpl
13549;9901;dpl
9901;11854;dpl
11854;11085;dpl
11085;11579;dpl
737;9471;dpl
9471;7393;dpl
7393;6944;dpl
6944;8602;dpl
8602;6803;dpl
6803;165;dpl
165;2198;dpl
2198;621;dpl
621;11899;dpl
11899;13693;dpl
13693;2673;dpl
2673;10203;dpl
10203;1450;dpl
1450;7091;dpl
7091;75;dpl
75;3755;dpl
3755;9765;dpl
9765;11235;dpl
11235;1827;dpl
1827;13070;dpl
13070;4604;dpl
4604;4050;dpl
4050;1551;dpl
1551;13653;dpl
13653;10646;dpl
10646;11896;dpl
11896;216;dpl
216;12874;dpl
216;7344;dpl
12874;1487;dpl
7344;4466;dpl
4466;10552;dpl
10552;3501;dpl
3501;2181;dpl
2181;3778;dpl
3778;6227;dpl
6227;13832;dpl
13832;2514;dpl
2514;6870;dpl
6870;1493;dpl
1493;4051;dpl
4051;12792;dpl
12792;7832;dpl
7832;6505;dpl
6505;1289;dpl
1289;6119;dpl
6119;6158;dpl
6824;9982;dpl
2561;9982;dpl
2610;10768;dpl
10768;6431;dpl
6431;6076;dpl
6076;6276;dpl
12570;7950;dpl
13204;12765;dpl
12765;4698;dpl
4698;3004;dpl
3004;5882;dpl
5882;5510;dpl
5510;6569;dpl
6569;3992;dpl
3992;4099;dpl
6024;5040;dpl
5040;7206;dpl
7206;5863;dpl
5863;12396;dpl
8155;11028;dpl
2567;2334;dpl
8177;662;dpl
11028;8793;dpl
8793;2633;dpl
2633;588;dpl
588;5144;dpl
5144;2868;dpl
2868;662;dpl
14012;9439;srf
9439;1111;srf
1111;1377;srf
1377;14239;srf
14239;5377;srf
5377;13728;srf
