id;flag
3799;ent
3799;fix
3799;air
5178;ent
5178;fix
5178;air
2994;ent
2994;fix
2994;air
153;ent
153;fix
1926;ent
1926;con
1926;fix
1926;air
2955;ent
2955;fix
2955;air
4432;ent
4432;fix
4432;spr
1953;ent
1953;fix
1953;air
444;ent
444;con
444;fix
444;air
4736;ent
4736;fix
4736;air
1168;ent
1168;fix
4854;ent
4854;fix
5003;ent
5003;fix
592;ent
592;fix
592;air
3024;ent
3024;fix
556;ent
556;fix
556;air
1145;ent
1145;fix
1145;air
593;ent
593;con
593;fix
593;air
1106;ent
1106;air
689;ent
689;fix
689;air
697;ent
4088;ent
4088;fix
4088;air
195;ent
195;fix
2387;ent
2387;con
2387;fix
2387;air
5029;con
3489;ent
3489;fix
3489;air
196;ent
196;fix
808;ent
808;fix
808;air
4644;ent
4644;fix
4644;air
2977;ent
2977;fix
2977;air
4176;ent
4176;fix
