number;short_name;status;type_of_correction;last_processing_date;total_length;percentage_csidm;number_connected_components;number_nodes;number_edges;number_cycles;country;latitude;longitude;altitude;license;citation;thanks
C058;Jewel;in github (cleaning in progress);no correction;05 May 2025;271345;68;1;30922;30921;0;USA;;;;Confidential - results only can be published;Unknown yet;
C059;Fulfords;ready for cleaning;no correction;06 Jun 2025;1643;0;3;265;274;12;USA;39.4946;-106.6539;3054;unclear. may not be sharable;Unknown yet;
C060;Tonion;ready for cleaning;no correction;06 Jun 2025;18361;0;1;3067;3152;86;Austria;;;;To confirm;Unknown yet;
C061;Burgunder;ready for cleaning;no correction;06 Jun 2025;22762;62;144;4592;4525;77;Austria;;;;To confirm;Unknown yet;
C061;BurgunderSchacht;ready for cleaning;no correction;06 Jun 2025;22762;0;144;4592;4525;77;Austria;;;;To confirm;Unknown yet;
C063;Wind;clean;no correction;06 Jun 2025;271709;0;1;51266;54121;2856;USA;;;;Confidential - results only can be published;Unknown yet;
C064;Lechugilla;in github (cleaning in progress);no correction;05 May 2025;262995;79;12;40198;43577;3391;USA;;;;Confidential - results only can be published;Unknown yet;
C068;CuevaGuerta;clean;manual correction;06 Jun 2025;24011;89;1;3300;3405;106;Spain;43.1239;-6.0588;;TBD;TBD;TBD
C069;HohlaubA1A3;clean;no correction;06 Jun 2025;1681;89;1;277;279;3;Switzerland;1685.0;46.7806;7.9131;To confirm;Groupe Spéléo Porrentruy (GSP), 2024, Holaub G3 & A3 & A1, archives internes, état fin 2024.;Thanks to Florian Hof for spending the time preparing and sharing the data with us. Thanks to all the cavers who explored, surveyed, and mapped the cave and without whom this analysis would not have been possible.
C070;HohlaubG3;clean;manual correction;06 Jun 2025;1404;89;1;273;274;2;Switzerland;1648.0;46.7932;7.9369;To confirm;Groupe Spéléo Porrentruy (GSP), 2024, Holaub G3 & A3 & A1, archives internes, état fin 2024.;Thanks to Florian Hof for spending the time preparing and sharing the data with us. Thanks to all the cavers who explored, surveyed, and mapped the cave and without whom this analysis would not have been possible.
C071;SacActun;ready for cleaning;no correction;06 Jun 2025;356871;0;26;38523;38623;126;Mexico;;;;Confidential - can be published;;
C072;Duerrenstein32;ready for cleaning;no correction;06 Jun 2025;5095;0;11;777;774;8;Austria;;;;To confirm;Unknown yet;
C073;Duerrenstein211;ready for cleaning;no correction;06 Jun 2025;1064;0;29;192;163;0;Austria;;;;To confirm;Unknown yet;
C074;Duerrenstein273;ready for cleaning;no correction;06 Jun 2025;1217;0;13;268;260;5;Austria;;;;To confirm;Unknown yet;
C075;FoussoubieEvent;ready for cleaning;no correction;06 Jun 2025;2621;97;1;321;323;3;France;;;;Confidential - not to be published;Unknown yet;
C076;FoussoubieGoule;ready for cleaning;no correction;06 Jun 2025;20231;98;1;2306;2341;36;France;;;;Confidential - not to be published;Unknown yet;
