number;short_name;status;type_of_correction;last_processing_date;total_length;percentage_csidm;number_connected_components;number_nodes;number_edges;number_cycles;country;latitude;longitude;altitude;license;citation;thanks
055;Tatra;clean;semi-automatic correction;08 Aug 2025;6634;11;5;1694;1692;3;Poland;49.2399;19.9016;1589.7;CC BY-NC-SA 4.0;;
056;ClydachGorge;clean;manual correction;08 Aug 2025;3197;0;3;379;377;1;UK;51.8065;-3.1377;219;CC BY-NC-SA 4.0;Unknown yet;
058;Cavernicole;clean;manual correction;08 Aug 2025;2654;89;1;541;544;4;France;45.3837;5.8866;1625;CC BY-NC-SA 4.0;;
059;Horvath;clean;manual correction;08 Aug 2025;827;55;2;140;143;5;France;45.3296;5.85652;1173;CC BY-NC-SA 4.0;;
060;ClotAspres;clean;manual correction;08 Aug 2025;38557;5;15;4230;4255;40;France;45.0265;5.5752;2017;CC BY-NC-SA 4.0;;
061;Moucherotte;clean;manual correction;08 Aug 2025;10016;0;14;1402;1409;21;France;45.1465558;5.617285;1420;CC BY-NC-SA 4.0;Robert, X., Base de données Topographiques du système karstique du Bruyante (Vercors, 38, France), https://github.com/robertxa/Bruyant, 2024.;
062;Sornin;clean;manual correction;08 Aug 2025;46877;32;12;4922;4968;58;France;45.219228;5.60482;1460;CC BY-NC-SA 4.0;Robert, X. & Parrot, D., Base de données Topographiques du système karstique Berger-Fromagère-Sassenage (Engins, Vercors, 38, France), https://github.com/robertxa/Berger-Sassenage, 2023.;
066;Blau;clean;manual correction;08 Aug 2025;1336;0;1;242;241;0;France;42.8781;2.0421;710;CC BY-NC-SA 4.0;Unknown yet;
067;Bailleurs;clean;manual correction;08 Aug 2025;2138;0;1;454;455;2;France;42.7405;2.241;750;CC BY-NC-SA 4.0;Unknown yet;
068;Mandra;clean;manual correction;08 Aug 2025;844;0;1;152;152;1;France;42.9095;2.3893;625;CC BY-NC-SA 4.0;;
069;Argent;clean;manual correction;08 Aug 2025;527;0;1;86;86;1;France;43.1359;3.0871;90;CC BY-NC;;
070;Cheminee;clean;manual correction;08 Aug 2025;6364;0;1;979;984;6;France;44.2739;3.2764;935;CC BY-NC-SA 4.0;;
