id_dataset;short_name;id_subset;status;type_of_correction;last_processing_date;total_length;total_depth;percentage_csdim;number_connected_components;number_nodes;number_edges;mean_degree;min_degree;max_degree;cv_degree;number_cycles;mean_length;cv_length;length_entropy;orientation_3d_entropy;aspl;cpd;correlation_vertex_degree;country;latitude;longitude;altitude;license;citation;thanks
073;Serreno;000;ready for cleaning;;11 Nov 2025;4777;179.8;5;1;465;470;2.08;1.0;5.0;0.552;6;35.92;1.63;0.23;0.789;9.28;0.472;-0.275;Spain;;;;;ask Patrick Degouve for citation;
074;Yeux;000;ready for cleaning;;11 Nov 2025;1312;263.75;30;1;190;189;1.97;1.0;6.0;0.639;0;23.03;1.13;0.49;0.79;6.87;0.566;-0.376;Spain;;;;;ask Patrick Degouve for citation;
075;TorcaAitken;000;ready for cleaning;;11 Nov 2025;9031;271.44;0;1;1010;1014;2.04;1.0;5.0;0.54;5;39.44;0.97;0.58;0.922;15.53;0.595;-0.267;Spain;;;;;ask Patrick Degouve for citation;
076;CuevaCarrera;000;ready for cleaning;;11 Nov 2025;8490;143.75;15;1;1020;1028;2.06;1.0;4.0;0.524;9;30.87;0.96;0.46;0.916;17.51;0.496;-0.28;Spain;;;;;ask Patrick Degouve for citation;
077;Pasillo;000;ready for cleaning;;11 Nov 2025;5462;276.16;4;1;913;916;2.04;1.0;4.0;0.498;4;37.68;0.96;0.52;0.915;13.65;0.397;-0.304;Spain;;;;;ask Patrick Degouve for citation;
079;CuevaPollita;000;ready for cleaning;;11 Nov 2025;2461;87.18;78;1;255;258;2.13;1.0;4.0;0.485;4;51.28;0.93;0.76;0.556;5.35;0.282;-0.248;Spain;;;;;ask Patrick Degouve for citation;
080;Lastrias;000;ready for cleaning;;11 Nov 2025;1756;144.26;74;1;172;171;1.9;1.0;4.0;0.573;0;87.81;1.75;0.43;0.503;4.39;0.443;-0.429;Spain;;;;;ask Patrick Degouve for citation;
082;CuevaTonia;000;ready for cleaning;;11 Nov 2025;2112;170.14;84;1;266;265;1.94;1.0;4.0;0.543;0;62.12;1.21;0.64;0.657;6.45;0.43;-0.397;Spain;;;;;ask Patrick Degouve for citation;
083;Cubillo;000;ready for cleaning;;11 Nov 2025;6536;141.31;3;1;1001;1003;2.02;1.0;5.0;0.559;3;37.35;1.51;0.37;0.843;11.66;0.58;-0.293;Spain;;;;;ask Patrick Degouve for citation;
084;CuevaHelguera;000;ready for cleaning;;11 Nov 2025;2650;173.81;19;1;349;349;2.0;1.0;4.0;0.554;1;43.45;1.29;0.57;0.836;8.76;0.472;-0.366;Spain;;;;;ask Patrick Degouve for citation;
085;Requiem;000;ready for cleaning;;11 Nov 2025;2524;331.25;0;1;156;155;1.89;1.0;5.0;0.679;0;140.26;2.49;0.09;0.682;3.66;0.497;-0.618;Spain;;;;;ask Patrick Degouve for citation;
087;CoumeBere;000;ready for cleaning;;11 Nov 2025;1734;473.34;75;1;284;283;1.94;1.0;4.0;0.566;0;52.56;1.19;0.68;0.768;5.65;0.488;-0.364;France;;;;;ask Patrick Degouve for citation;
088;PerteYerse;000;ready for cleaning;;11 Nov 2025;1640;399.27;14;1;207;206;1.95;1.0;3.0;0.518;0;40.01;0.98;0.65;0.814;6.79;0.48;-0.367;France;;;;;ask Patrick Degouve for citation;
089;Queou;000;ready for cleaning;;11 Nov 2025;4769;457.65;41;1;548;550;2.04;1.0;4.0;0.543;3;44.16;1.12;0.59;0.847;13.17;0.473;-0.327;France;;;;;ask Patrick Degouve for citation;
090;Crolles;000;ready for cleaning;;11 Nov 2025;45539;693.92;92;26;9042;9135;2.13;1.0;8.0;0.499;119;32.16;1.29;0.27;0.903;33.09;0.297;-0.225;France;;;;CC BY-NC-SA 4.0;Urruty, B. (2025). Base de données topographiques du système karstique de la Dent de Crolles (38, France) [Creative Commons BY-NC-SA 4.0 dataset, Therion project]. https://github.com/BenoitURRUTY/Topo_Dent_Crolles;
091;Som;000;ready for cleaning;;11 Nov 2025;3343;937.0;91;7;716;711;1.87;1.0;4.0;0.586;2;49.91;1.33;0.59;0.844;4.72;0.225;-0.322;France;;;;CC BY-NC-SA 4.0;Urruty, B. (2025). Base de données topographiques du Charmant Som (Versions V1 - Synthèse Charmant Som) [Creative Commons BY-NC-SA 4.0 dataset, Therion project]. Zenodo. https://doi.org/10.5281/zenodo.17455918;
092;Flaine;000;ready for cleaning;;11 Nov 2025;2216;906.0;29;8;389;383;1.88;1.0;5.0;0.556;2;24.9;1.26;0.51;0.859;4.75;0.056;-0.295;France;;;;CC BY-NC-SA 4.0;"Pont, A., Spéléo Club du Mont-Blanc, CESAME, & Comité Départemental de Spéléologie de Haute-Savoie (CDS74). (n.d.). Base de données topographiques des systèmes karstiques du massif Flaine-Platé (Haute-Savoie 74, France) [Creative Commons BY-NC-SA 4.0 dataset, Therion project]. Retrieved May 31, 2024, from https://github.com/BenoitURRUTY/Synthese-Clot-d-Aspres
";
093;Larra;000;ready for cleaning;;11 Nov 2025;333773;2016.0;2;377;42100;41916;1.94;1.0;10.0;0.565;193;57.55;1.87;0.1;0.905;13.64;0.013;-0.248;France;;;;CC BY-NC-SA 4.0;Pont, A., & ARSIP, collectif d’exploration du massif de la P. S. M. (2025). Base de données Topographiques des systèmes karstiques du massif de la Pierre Saint Martin—Larra (France) [Creative Commons BY-NC-SA 4.0 dataset, Therion project]. https://github.com/Alex38Lyon/Synthese-PSM_LARRA;
095;Kelmend;000;ready for cleaning;;11 Nov 2025;3594;1459.6;17;16;549;533;1.79;1.0;7.0;0.738;0;26.82;2.03;0.34;0.846;4.64;0.055;-0.366;Albania;;;;;;
C001;Poteu;000;clean;no correction;11 Nov 2025;5517;323.42;99;1;853;862;2.25;1.0;4.0;0.45;10;70.73;1.39;0.5;0.82;8.15;0.476;-0.313;Switzerland;46.1712;7.1735;600;Private dataset - results only can be published;;
C002;FeesVD;000;clean;manual correction;11 Nov 2025;36318;227.41;99;1;5440;5605;2.31;1.0;4.0;0.431;166;31.86;1.95;0.11;0.797;58.06;0.401;-0.222;Switzerland;46.6996;6.3407;866.86;Private dataset - results only can be published;;
C003;FeesVS;000;clean;no correction;11 Nov 2025;3561;253.81;100;1;558;564;2.18;1.0;4.0;0.444;7;53.16;1.41;0.52;0.737;10.01;0.519;-0.248;Switzerland;46.2233;7.0012;497;Private dataset - results only can be published;;
C004;GrandCor;000;clean;manual correction;11 Nov 2025;4753;589.85;99;1;892;895;2.05;1.0;4.0;0.503;4;41.7;1.26;0.48;0.827;12.79;0.422;-0.26;Switzerland;46.1926;7.0841;2660;Private dataset - results only can be published;;
C005;Bouillon;000;clean;manual correction;11 Nov 2025;3794;24.7;0;1;723;729;2.15;1.0;4.0;0.468;7;47.43;1.78;0.33;0.8;11.18;0.423;-0.271;France;47.8504;1.9375;0;TBD;;
C006;DiableRouge;000;clean;manual correction;11 Nov 2025;265;37.31;100;1;43;43;2.0;1.0;3.0;0.5;1;33.15;0.74;0.65;0.571;2.56;0.353;-0.446;France;43.0363;0.2191;580;TBD;;
C007;Escargots;000;clean;no correction;11 Nov 2025;681;73.81;90;2;156;158;2.11;1.0;4.0;0.497;4;22.0;0.67;0.74;0.786;3.94;0.237;-0.326;France;42.9611;0.3999;810;TBD;;
C009;Espelugues;000;clean;manual correction;11 Nov 2025;237;16.82;97;1;38;38;2.0;1.0;4.0;0.548;1;26.34;0.83;0.64;0.597;2.84;0.484;-0.705;France;43.0959;-0.0607;420;TBD;;
C010;Sarrazins;000;clean;no correction;11 Nov 2025;687;31.41;96;2;151;150;1.93;1.0;4.0;0.575;1;23.71;1.0;0.62;0.781;3.36;0.229;-0.43;France;43.0921;-0.0489;420;TBD;;
C012;Labastide;000;clean;no correction;11 Nov 2025;1507;87.39;97;1;197;200;2.21;1.0;6.0;0.61;4;47.11;1.14;0.69;0.765;4.23;0.573;-0.277;France;43.0332;0.3462;530;TBD;;
C013;Monachou;000;clean;manual correction;11 Nov 2025;673;32.64;94;1;261;269;2.2;1.0;4.0;0.483;9;8.02;0.58;0.8;0.866;10.14;0.421;-0.291;France;42.9286;0.3673;700;TBD;;
C014;Bedat;000;clean;manual correction;11 Nov 2025;1633;103.15;96;1;346;353;2.14;1.0;5.0;0.519;8;15.85;0.9;0.54;0.868;9.24;0.237;-0.252;France;43.0584;0.1409;;TBD;;
C015;Cardal;000;clean;manual correction;11 Nov 2025;884;71.5;95;1;174;181;2.29;1.0;4.0;0.45;8;17.02;0.81;0.82;0.762;7.58;0.373;-0.116;France;42.735;0.0998;2130;TBD;;
C016;Loup;000;clean;no correction;11 Nov 2025;560;64.51;95;2;140;138;1.76;1.0;4.0;0.618;0;37.38;0.92;0.74;0.769;2.69;0.287;-0.505;France;43.0961;-0.0678;400;TBD;;
C017;PicDuJer;000;clean;manual correction;11 Nov 2025;613;67.74;95;1;102;103;2.07;1.0;4.0;0.524;2;22.74;1.24;0.55;0.661;5.6;0.393;-0.258;France;43.0784;-0.0319;909.4;TBD;;
C018;Tunnel;000;clean;no correction;11 Nov 2025;920;31.29;98;1;252;256;2.15;1.0;4.0;0.481;5;17.05;0.87;0.77;0.839;7.93;0.542;-0.26;France;42.9516;0.3777;645;TBD;;
C019;Maraichers;000;clean;no correction;11 Nov 2025;72;14.87;93;1;15;14;1.5;1.0;3.0;0.667;0;24.12;0.38;0.28;0.474;1.5;1.0;-1.0;France;43.0826;-0.0528;410;TBD;;
C021;Carbonniere;000;clean;no correction;11 Nov 2025;2665;134.21;84;1;428;435;2.12;1.0;4.0;0.5;8;22.4;1.24;0.47;0.85;11.1;0.541;-0.29;France;42.827;1.6242;;TBD;;
C022;RoyReineFou;000;clean;manual correction;11 Nov 2025;5032;334.38;83;10;1207;1207;2.0;1.0;5.0;0.542;10;18.3;1.27;0.45;0.898;13.88;0.223;-0.247;France;43.0939;-0.0765;420;TBD;;
C027;Shuanghe;000;clean;manual correction;11 Nov 2025;134751;767.0;95;43;8105;8104;2.0;1.0;5.0;0.525;42;122.5;1.27;0.44;0.813;30.09;0.303;-0.269;China;28.242;107.276;700;TBD;TBD;
C028;OxBelHa;000;clean;semi-automatic correction;11 Nov 2025;370057;61.57;0;1;33083;34016;2.46;1.0;5.0;0.369;934;80.57;1.02;0.28;0.753;86.82;0.468;-0.172;Mexico;20.1601;-87.488;;Private dataset - results only can be published;"QRSS (Quintana Roo Speleological Survey), GEO (Grupo de Exploración Ox Bel Ha), MCEP (Mexico Cave Exploration Project), & CINDAQ (El Centro Investigador del Sistema Acuífero de Quintana Roo). (2024). Ox Bel Ha cave survey data (Version 1998 - 2024) [Private dataset, Compass ESRI Shapefiles]. provided by James G. Coke.
";Thanks to Jim Coke for sharing the data with us and for spending so much time preparing and explaining the data to us.Thanks also to all the cavers/divers who explored and mapped the cave system over the years (list in appendix).
C029;Longirod;000;clean;no correction;11 Nov 2025;5151;518.32;98;1;642;644;2.04;1.0;4.0;0.54;3;55.39;1.46;0.49;0.834;9.93;0.537;-0.328;Switzerland;46.5297;6.2307;1350;Private dataset - results only can be published;;
C031;Baerwies;000;clean;semi-automatic correction;11 Nov 2025;7459;361.02;1;1;1170;1198;2.11;1.0;6.0;0.571;29;13.86;1.08;0.38;0.941;25.16;0.61;-0.301;Austria;47.6877;15.1144;1265;Private dataset - results only can be published;Landesverein für Höhlenkunde Wien und Nieder Österreich. (2024). Baerwies Eishoehle cave survey [Proprietary dataset, www.spelix.at, Compass]. www.spelix.at;
C032;DachsteinMammutHoehle;000;clean;semi-automatic correction;11 Nov 2025;69878;1207.58;11;1;11387;11620;2.12;1.0;9.0;0.541;234;16.62;1.49;0.15;0.958;67.89;0.467;-0.257;Austria;47.5353;13.7097;;Private dataset - results only can be published;Landesverein für Höhlenkunde Wien und Nieder Österreich. (2024). Dachstein Mammuthöhle cave survey [Proprietary dataset, www.spelix.at, Compass]. www.spelix.at;
C033;Hirschgruben;000;clean;manual correction;11 Nov 2025;5919;201.02;31;1;1219;1246;2.09;1.0;8.0;0.58;28;9.34;0.84;0.54;0.965;26.24;0.402;-0.269;Austria;47.6071;15.0953;;Private dataset - results only can be published;"Landesverein für Höhlenkunde Wien und Nieder Österreich. (2024). Hirschgruben Hoele cave survey [Proprietary dataset, www.spelix.at, Compass]. www.spelix.a
";
C034;Steinbockschacht;000;clean;automatic correction;11 Nov 2025;2876;1126.39;0;1;416;422;2.11;1.0;4.0;0.501;7;25.46;1.52;0.47;0.855;10.15;0.447;-0.252;Austria;47.609;15.1137;2022;Private dataset - results only can be published;Landesverein für Höhlenkunde Wien und Nieder Österreich. (2024). Steinbock Schacht cave survey [Proprietary dataset, www.spelix.at, Compass]. www.spelix.at;
C035;TrockenesLoch;000;clean;semi-automatic correction;11 Nov 2025;4495;108.52;0;1;814;833;2.1;1.0;6.0;0.535;20;11.92;1.08;0.44;0.916;23.2;0.479;-0.335;Austria;47.9114;15.3743;764;Private dataset - results only can be published;Landesverein für Höhlenkunde Wien und Nieder Österreich. (2024). Trockenes Loch cave survey [Proprietary dataset, www.spelix.at, Compass]. www.spelix.at;
C036;Arphidia;000;clean;manual correction;11 Nov 2025;13528;635.19;96;2;1464;1485;2.22;1.0;5.0;0.47;23;65.36;1.12;0.56;0.882;13.95;0.476;-0.241;France;42.9792;-0.7961;1050;TBD;;
C037;Vallorbe;000;clean;manual correction;11 Nov 2025;6759;128.28;90;5;875;892;2.19;1.0;5.0;0.491;22;36.54;1.69;0.25;0.916;15.97;0.36;-0.241;Switzerland;46.6981;6.3458;783;Private dataset - results only can be published;;
C038;Covatannaz;000;clean;no correction;11 Nov 2025;5159;104.17;98;2;769;772;2.09;1.0;4.0;0.488;5;77.0;1.03;0.68;0.808;7.19;0.402;-0.265;Switzerland;46.8141;6.5349;730;Private dataset - results only can be published;;
C039;BlueSpringIndiana;000;clean;manual correction;11 Nov 2025;33628;14.92;0;1;2838;2883;2.25;1.0;5.0;0.447;46;86.01;2.0;0.14;0.652;22.9;0.449;-0.272;USA;38.8038;-86.5666;;Private dataset - results only can be published;"Palmer, A. (2013). Blue Spring Indiana cave survey data [Proprietary dataset].
";Arthur Palmer for sharing the data with us
C040;BlueSpringTennessee;000;clean;no correction;11 Nov 2025;50780;74.55;0;1;3830;3897;2.24;1.0;6.0;0.466;68;88.01;1.81;0.23;0.772;24.36;0.478;-0.251;USA;35.9574;-85.383;;Private dataset - results only can be published;"Yokum, M. (2013). Blue Spring Tennessee cave survey data [Proprietary dataset]. Provided by Arthur Palmer.

";Mike Yokum and Arthur Palmer for sharing the data with us
C042;AgenAllwedd;000;clean;manual correction;11 Nov 2025;13651;122.62;0;1;1912;1917;2.05;1.0;5.0;0.556;6;71.85;2.22;0.25;0.762;14.3;0.547;-0.326;UK;51.83548;-3.18023;364;Private dataset - results only can be published;Chelsea Spelaeological Society. (2023). Agen Allwedd cave survey [Dataset]. https://chelseaspelaeo.org/caves;
C045;Ceberi;000;clean;no correction;11 Nov 2025;7175;310.77;95;4;882;887;2.08;1.0;5.0;0.514;9;55.63;1.35;0.39;0.846;7.2;0.298;-0.368;France;43.1017;-0.18448;345;TBD;;
C047;Krubera;000;clean;no correction;11 Nov 2025;13233;2191.0;0;1;2152;2159;2.06;1.0;6.0;0.588;8;55.84;1.85;0.32;0.832;21.41;0.454;-0.401;Georgia;;;;TBD;;
C049;EglwysFaen;000;clean;manual correction;11 Nov 2025;1340;18.65;0;1;302;305;2.06;1.0;4.0;0.552;4;13.97;1.26;0.54;0.734;9.34;0.564;-0.405;UK;51.83383;-3.17311;361;Private dataset - results only can be published;Chelsea Spelaeological Society. (2023). Eglwys Faen cave survey [Dataset]. https://chelseaspelaeo.org/caves;
C050;DarenCilau;000;clean;manual correction;11 Nov 2025;19951;186.15;0;1;2649;2671;2.13;1.0;6.0;0.53;23;56.2;1.87;0.21;0.757;20.57;0.481;-0.281;UK;51.83065;-3.15478;409;Private dataset - results only can be published;Chelsea Spelaeological Society. (2023). Daren Cilau cave survey [Dataset]. https://chelseaspelaeo.org/caves;
C055;Crevice;000;clean;no correction;11 Nov 2025;4908;0.0;0;1;4265;4274;2.07;1.0;4.0;0.484;10;18.88;1.45;0.43;0.382;19.66;0.554;-0.303;USA;;;;TBD;TBD;
C056;Crossroads;000;clean;no correction;11 Nov 2025;7781;0.0;0;1;6547;6606;2.32;1.0;4.0;0.417;60;18.18;1.26;0.39;0.374;17.33;0.344;-0.168;USA;;;;TBD;TBD;
C058;Jewel;000;clean;no correction;11 Nov 2025;355242;223.83;88;515;43069;43098;2.0;1.0;6.0;0.552;544;25.77;1.07;0.24;0.9;44.26;0.07;-0.242;USA;43.729444;-103.829444;1650;Private dataset - results only can be published;"United States Department of the Interior National Park Service. (2024). Jewel Cave survey data [Proprietary dataset, Compass]. https://www.nps.gov/jeca/index.htm
";US National Park Services for providing the data
C059;Fulfords;000;clean;manual correction;11 Nov 2025;1645;79.78;0;3;265;276;2.28;1.0;8.0;0.578;14;19.36;0.82;0.84;0.846;5.43;0.367;-0.161;USA;39.4946;-106.6539;3054;CC BY-NC-SA 4.0;TBD;
C060;Tonion;000;clean;manual correction;11 Nov 2025;16397;580.2;0;1;3065;3154;2.15;1.0;7.0;0.536;90;12.94;0.97;0.46;0.976;53.12;0.452;-0.241;Austria;47.7025;15.4001;1488.58224;Private dataset - results only can be published;Landesverein für Höhlenkunde Wien und Nieder Österreich. (2024). Tonion Höhlensystem cave survey [Proprietary dataset, www.spelix.at, Compass]. www.spelix.at;
C061;Burgunder;000;clean;semi-automatic correction;11 Nov 2025;23503;560.71;62;1;4592;4686;2.1;1.0;6.0;0.552;95;11.79;1.23;0.27;0.931;55.67;0.578;-0.288;Austria;47.6083;14.0314;1831.56;Private dataset - results only can be published;Landesverein für Höhlenkunde Wien und Nieder Österreich. (2024). Burgunder Schacht cave survey [Proprietary dataset, www.spelix.at, Compass]. www.spelix.at;
C063;Wind;000;clean;no correction;11 Nov 2025;271709;191.69;0;1;51266;54121;2.28;1.0;9.0;0.534;2856;11.78;0.97;0.23;0.886;79.72;0.282;-0.177;USA;43.5667;-103.4833;;Private dataset - results only can be published;"United States Department of the Interior National Park Service. (2024). Wind Cave survey data [Proprietary dataset, Compass]. https://www.nps.gov/wica/index.htm
";US National Park Services for providing the data
C064;Lechugilla;000;clean;semi-automatic correction;11 Nov 2025;261889;484.91;79;1;40105;43496;2.44;1.0;13.0;0.536;3392;14.34;0.89;0.36;0.963;92.2;0.527;-0.032;USA;32.190556;-104.503056;1414;Private dataset - results only can be published;United States Department of the Interior National Park Service. (2024). Lechugilla Cave survey data [Proprietary dataset, Compass]. https://www.nps.gov/cave/index.htm;US National Park Services for providing the data
C068;CuevaGuerta;000;clean;manual correction;11 Nov 2025;24011;289.52;91;1;3300;3405;2.22;1.0;8.0;0.518;106;24.08;1.03;0.48;0.92;40.78;0.512;-0.246;Spain;43.1239;-6.0588;;TBD;TBD;TBD
C069;HohlaubA1A3;000;clean;no correction;11 Nov 2025;1681;280.11;98;1;277;279;2.1;1.0;4.0;0.514;3;38.22;0.89;0.73;0.823;6.98;0.435;-0.31;Switzerland;46.7806;7.9131;1685;Private dataset - results only can be published;Groupe Spéléo Porrentruy (GSP), 2024, Holaub G3 & A3 & A1, archives internes, état fin 2024.;Thanks to Florian Hof for spending the time preparing and sharing the data with us. Thanks to all the cavers who explored, surveyed, and mapped the cave and without whom this analysis would not have been possible.
C070;HohlaubG3;000;clean;manual correction;11 Nov 2025;1405;219.35;99;1;273;274;2.04;1.0;5.0;0.569;2;26.02;1.04;0.61;0.862;6.27;0.429;-0.305;Switzerland;46.7932;7.9369;1648;Private dataset - results only can be published;Groupe Spéléo Porrentruy (GSP), 2024, Holaub G3 & A3 & A1, archives internes, état fin 2024.;Thanks to Florian Hof for spending the time preparing and sharing the data with us. Thanks to all the cavers who explored, surveyed, and mapped the cave and without whom this analysis would not have been possible.
C071;SacActun;000;ready for cleaning;no correction;11 Nov 2025;356871;162.82;0;26;38523;38623;2.04;1.0;5.0;0.513;126;74.19;1.07;0.23;0.755;45.67;0.047;-0.311;Mexico;20.2464;-87.4642;;Private dataset - results only can be published;;
C072;Duerrenstein32;000;clean;semi-automatic correction;11 Nov 2025;5196;472.99;0;1;778;788;2.1;1.0;5.0;0.53;11;26.65;0.92;0.63;0.93;16.36;0.49;-0.329;Austria;47.8199;15.0661;1375;Private dataset - results only can be published;Landesverein für Höhlenkunde Wien und Nieder Österreich. (2024). Lechnerweidhöhle cave survey [Proprietary dataset, www.spelix.at, Compass]. www.spelix.at;
C073;Duerrenstein211;000;clean;semi-automatic correction;11 Nov 2025;1289;248.7;0;1;192;195;2.08;1.0;5.0;0.553;4;16.33;0.9;0.75;0.844;8.69;0.442;-0.317;Austria;47.7832;15.0584;1615;Private dataset - results only can be published;Landesverein für Höhlenkunde Wien und Nieder Österreich. (2024). Arenaschacht cave survey [Proprietary dataset, www.spelix.at, Compass]. www.spelix.at;
