id;idsql
70;1
11;2
685;3
824;4
292;5
491;6
645;7
487;8
289;9
211;10
63;11
184;12
32;13
240;14
283;15
238;16
584;17
778;18
363;19
659;20
361;21
224;22
668;23
264;24
187;25
810;26
670;27
149;28
319;29
182;30
17;31
539;32
597;33
249;34
95;35
394;36
702;37
134;38
233;39
585;40
649;41
16;42
727;43
126;44
760;45
115;46
775;47
630;48
196;49
205;50
716;51
808;52
277;53
308;54
402;55
297;56
230;57
750;58
86;59
788;60
484;61
157;62
570;63
321;64
212;65
209;66
209;125
559;67
364;68
696;69
276;70
638;71
725;72
345;73
311;74
811;75
489;76
26;77
204;78
138;79
467;80
720;81
420;82
700;83
643;84
691;85
348;86
156;87
407;88
823;89
706;90
257;91
50;92
113;93
36;94
320;95
522;96
747;97
108;98
324;99
356;100
220;101
242;102
30;103
337;104
197;105
688;106
609;107
590;108
162;109
37;110
579;111
332;112
332;120
387;113
714;114
516;115
164;116
563;117
349;118
790;119
77;121
798;122
106;123
246;124
146;126
146;133
302;127
787;128
812;129
506;130
664;131
101;132
647;134
265;135
763;136
762;137
535;138
66;139
202;140
291;141
454;142
703;143
121;144
745;145
523;146
271;147
460;148
803;149
335;150
410;151
189;152
515;153
181;154
366;155
783;156
461;157
545;158
176;159
605;160
398;161
104;162
440;163
423;164
639;165
135;166
270;167
459;168
838;169
768;170
51;171
782;172
222;173
373;174
682;175
419;176
419;284
432;177
422;178
341;179
614;180
107;181
301;182
207;183
232;184
384;185
439;186
526;187
312;188
471;189
388;190
290;191
14;192
830;193
353;194
2;195
142;196
225;197
507;198
843;199
451;200
564;201
558;202
795;203
661;204
68;205
447;206
530;207
303;208
576;209
326;210
299;211
833;212
662;213
18;214
103;215
825;216
636;217
776;218
408;219
216;220
665;221
779;222
114;223
508;224
359;225
75;226
147;227
855;228
354;231
381;232
317;233
591;234
499;235
504;236
239;237
550;238
755;239
418;240
411;241
192;242
192;648
110;243
852;244
601;245
437;246
674;247
674;652
595;248
802;249
737;250
47;253
185;254
393;255
651;256
509;257
318;258
568;259
200;260
20;261
425;262
546;263
153;264
723;265
466;266
587;267
589;268
573;269
495;270
517;271
112;272
739;273
485;274
83;275
285;276
96;277
704;278
435;279
338;280
533;281
214;282
247;283
117;285
315;286
93;287
759;288
218;289
250;290
604;291
807;292
565;293
127;294
818;295
124;296
236;297
719;298
260;299
173;300
801;301
612;302
598;303
413;304
57;305
817;306
781;307
724;308
448;309
654;310
680;311
406;312
481;313
272;314
834;315
463;316
433;317
822;318
52;319
449;320
624;321
726;322
457;323
245;324
617;325
385;326
379;327
426;328
468;329
547;330
513;331
269;332
804;333
313;334
282;335
582;336
571;337
417;338
258;339
237;340
150;341
129;342
54;343
273;344
744;345
64;346
666;347
89;348
656;349
735;350
555;351
231;352
227;353
841;354
722;355
346;356
854;357
500;358
650;359
132;360
443;361
733;362
653;363
403;364
74;365
784;366
56;367
510;368
697;369
853;370
130;371
178;372
677;373
259;374
382;375
560;376
441;377
340;378
786;379
751;380
38;381
38;401
194;382
62;383
756;384
777;385
1;386
365;387
316;388
828;389
355;390
352;391
111;392
438;393
19;394
519;395
789;396
145;397
693;398
521;399
241;400
456;402
92;403
678;404
347;405
151;406
806;407
644;408
350;409
39;410
729;411
742;412
496;413
482;414
831;415
767;416
686;417
800;418
198;419
684;420
478;421
480;422
839;423
851;424
3;425
494;426
619;427
527;428
284;429
378;430
243;431
415;432
764;433
701;434
452;435
690;436
635;437
12;438
652;439
369;440
228;441
634;442
632;443
632;464
119;444
169;445
524;446
717;447
501;448
293;449
606;450
219;451
675;452
835;453
287;454
275;455
155;456
473;457
399;458
35;459
741;460
679;461
180;462
424;463
215;465
343;466
791;467
758;468
374;469
416;470
279;471
660;472
625;473
771;474
771;498
0;475
442;476
663;477
505;478
139;479
548;480
131;481
392;482
256;483
687;484
217;485
339;486
627;487
210;488
307;489
244;490
395;491
757;492
133;493
160;494
710;495
251;496
820;497
820;662
331;499
502;500
428;501
738;502
15;503
405;504
328;505
520;506
743;507
683;508
602;509
427;510
821;511
351;512
492;513
61;514
566;515
306;516
549;517
208;518
383;519
143;520
765;521
581;522
709;523
734;524
772;525
13;526
455;527
689;528
797;529
55;530
728;531
94;532
770;533
596;534
518;535
252;536
294;537
815;538
450;539
586;540
309;541
46;542
414;543
832;544
327;545
465;546
7;547
71;548
221;549
199;550
128;551
190;552
28;553
102;554
836;555
453;556
386;557
87;558
53;559
305;560
813;561
263;562
84;563
118;564
534;565
389;566
475;567
177;568
611;569
613;570
799;571
167;572
642;573
333;574
540;575
845;576
578;577
493;578
334;579
141;580
288;581
280;582
780;583
805;584
144;585
295;586
458;587
698;588
740;589
72;590
429;591
85;592
175;593
21;594
525;595
814;596
174;597
618;598
9;599
705;600
253;601
445;602
557;603
79;604
76;605
623;606
152;607
203;608
657;609
391;610
477;611
434;612
599;613
97;614
829;615
188;616
610;617
658;618
498;619
98;620
592;621
266;622
310;623
371;624
669;625
396;626
731;627
73;628
827;629
541;630
161;631
667;632
49;633
580;634
191;635
849;636
721;637
631;638
543;639
255;640
774;641
120;642
537;643
168;644
370;645
390;646
600;647
712;649
172;650
170;651
715;653
136;654
583;655
603;656
773;657
574;658
201;659
125;660
575;661
699;663
551;664
816;665
655;666
430;667
430;738
497;668
409;669
33;670
357;671
542;672
278;673
314;674
640;675
48;676
436;677
552;678
298;679
90;680
78;681
629;682
171;683
553;684
752;685
844;686
844;716
621;687
248;688
562;689
165;690
474;691
761;692
711;693
707;694
372;695
637;696
186;697
368;698
718;699
695;700
730;701
360;702
512;703
154;704
31;708
80;709
561;710
556;711
567;712
24;713
446;714
397;715
140;717
469;718
622;719
122;720
163;721
819;722
195;723
91;724
404;725
362;726
846;727
483;728
421;729
99;730
234;731
672;732
377;733
620;734
528;735
10;736
81;737
713;739
850;740
736;741
476;742
262;743
193;744
626;745
401;746
511;747
572;748
607;749
681;750
137;751
431;752
514;753
116;754
23;755
213;756
746;757
254;758
588;759
330;760
708;761
342;762
123;763
840;764
538;765
286;766
4;767
794;768
544;769
183;770
358;771
41;772
462;773
29;774
67;775
529;776
593;777
641;778
296;779
336;780
179;781
261;782
42;783
166;784
633;785
58;786
847;787
65;788
766;789
842;790
322;791
488;792
267;793
615;794
531;795
323;796
59;797
754;798
616;799
536;800
809;801
793;802
646;803
8;804
274;805
325;806
554;807
6;808
673;809
44;810
82;811
628;812
486;813
769;814
577;815
848;816
40;817
105;818
45;819
281;820
694;821
34;822
235;823
412;824
344;825
464;826
648;827
304;828
490;829
25;830
472;831
748;832
444;833
503;834
148;835
753;836
676;837
796;838
594;839
43;840
792;841
532;842
692;843
837;844
479;845
69;846
300;847
100;848
376;849
380;850
229;851
785;852
826;853
732;854
109;855
367;856
749;857
375;858
158;859
608;860
60;861
223;862
206;863
671;864
400;865
159;866
22;867
470;868
