id;idsql
135;1
216;2
216;8
203;3
139;4
12;5
38;6
44;7
60;9
225;10
50;11
240;12
242;13
43;14
43;98
43;102
2;15
48;16
48;17
48;75
48;238
80;18
245;19
102;20
267;21
269;22
262;23
93;24
265;25
125;26
31;27
238;28
149;29
72;30
274;31
165;32
224;33
73;34
73;35
73;65
73;161
212;36
171;37
192;38
21;39
249;40
249;128
249;265
103;41
103;148
24;42
19;43
19;153
181;44
141;45
104;46
39;47
199;48
237;49
94;50
94;156
22;51
204;52
70;53
70;217
112;54
6;55
6;223
105;56
76;57
76;233
230;58
29;59
250;60
11;61
79;62
75;63
208;64
82;66
243;67
168;68
114;69
207;70
273;71
131;72
71;73
57;74
155;76
58;77
145;78
268;79
118;80
13;81
180;82
15;83
194;84
251;85
46;86
228;87
179;88
142;89
175;90
153;91
47;92
17;93
236;94
146;95
115;96
59;97
68;99
143;100
144;101
16;103
154;104
205;105
205;122
92;106
92;114
252;107
96;108
14;109
14;117
86;110
263;111
157;112
40;113
3;115
169;116
32;118
130;119
1;120
116;121
166;123
0;124
64;125
185;126
106;127
74;129
74;152
161;130
215;131
34;132
34;260
260;133
20;134
63;135
270;136
136;137
42;138
186;139
184;140
239;141
241;142
266;143
27;144
18;145
258;146
158;147
158;175
159;149
271;150
196;151
162;154
219;155
25;157
134;158
279;159
253;160
113;162
117;163
217;164
276;165
276;308
209;166
124;167
124;293
107;168
87;169
119;170
100;171
95;172
255;173
254;174
35;176
176;177
244;178
227;179
132;180
195;181
30;182
201;183
257;184
257;206
257;212
218;185
202;186
37;187
190;188
211;189
55;190
56;191
108;192
108;314
10;193
193;194
272;195
120;196
62;197
62;202
81;198
231;199
170;200
256;201
275;203
28;204
213;205
220;207
84;208
232;209
156;210
128;211
187;213
23;214
148;215
229;216
261;218
26;219
173;220
52;221
167;222
233;224
259;225
137;226
78;227
164;228
97;229
83;230
83;252
150;231
277;232
111;234
4;235
189;236
36;237
138;239
147;240
280;241
51;242
53;243
33;244
206;245
77;246
172;247
172;270
90;248
109;249
151;250
235;251
235;261
163;253
9;254
89;255
98;256
91;257
121;258
121;263
110;259
69;262
174;264
122;266
133;267
54;268
234;269
41;271
41;299
85;272
188;273
198;274
248;275
99;276
7;277
88;278
178;279
49;280
127;281
140;282
221;283
5;284
246;285
191;286
152;287
264;288
65;289
66;290
101;291
8;292
223;294
214;295
247;296
129;297
182;298
278;300
67;301
126;302
160;303
183;304
210;305
123;306
61;307
281;309
222;310
200;311
177;312
226;313
45;315
197;316
