from_id;to_id;flag
1223;4150;dpl
4150;6678;dpl
6678;5841;dpl
5841;1018;dpl
1018;4425;dpl
4425;6634;dpl
6634;5062;dpl
5062;6954;dpl
3217;1415;dpl
1415;4612;dpl
4612;1027;dpl
1027;6097;dpl
6097;5894;dpl
3778;834;add
1141;3749;add
1266;4199;dpl
3414;745;dpl
4485;5254;add
5254;20;dpl
20;2672;dpl
2672;4786;dpl
4786;1264;dpl
1264;6368;dpl
6368;4474;dpl
4474;4397;dpl
4397;1940;dpl
1940;3490;dpl
3490;745;dpl
3749;426;dpl
426;3853;dpl
3853;677;dpl
677;4199;dpl
3856;4633;dpl
3932;5156;add
2025;4637;dpl
7050;7092;dpl
7092;945;dpl
945;91;dpl
91;5030;dpl
5030;3986;dpl
3986;568;dpl
568;4711;dpl
4711;4637;dpl
4633;6839;dpl
6839;3313;dpl
3313;2207;dpl
2207;703;dpl
703;5156;dpl
834;4601;dpl
4601;548;dpl
548;5846;dpl
3052;174;dpl
3052;3920;add
174;3221;dpl
3221;5464;dpl
5464;1985;dpl
1985;1874;dpl
3920;6019;rmv
