number;short_name;status;type_of_correction;last_processing_date;total_length;total_depth;percentage_csdim;number_connected_components;number_nodes;number_edges;mean_degree;min_degree;max_degree;cv_degree;number_cycles;mean_length;cv_length;length_entropy;orientation_3d_entropy;aspl;cpd;correlation_vertex_degree;country;latitude;longitude;altitude;license;citation;thanks
001;GouffreDejaVu;clean;no correction;08 Aug 2025;150;32.16;100;1;33;32;1.5;1;3;0.667;0;50.23;0.96;0.48;0.597;1.5;1.0;-1.0;Chile;-50.0861;-75.1594;280;CC BY-NC-SA 4.0;Centre Terre. (2024). Survey Data for the Ultima Patagonia Cave Exploration project [Dataset]. https://github.com/tr1813/ultima-patag;
002;Migovec;clean;manual correction;08 Aug 2025;46317;968.62;13;1;7163;7206;2.09;1;6;0.53;44;49.7;1.26;0.42;0.902;35.94;0.555;-0.304;Slovenia;46.25198;13.76394;1854;CC BY-NC-SA 4.0;ICCC, & JSDPT. (2024). Survey Data for the Tolminski Migovec Cave Exploration project (Version 2024.03.13) [Dataset]. Zenodo. https://doi.org/DOI: 10.5281/ZENODO.108130;
003;Criou;clean;manual correction;08 Aug 2025;31680;1669.43;28;20;5085;5091;2.02;1;5;0.523;26;55.1;1.73;0.25;0.907;23.46;0.29;-0.267;France;46.0889;6.7705;1880;CC BY-NC-SA 4.0;Robert, X., & Collectif Criou. (2023). Base de données topographiques des systèmes karstiques du massif du Criou (Samoëns, 74, France) (Version 1.0.0) [Dataset]. Zenodo. https://doi.org/10.5281/zenodo.10020918';
004;Matienzo;clean;semi-automatic correction;08 Aug 2025;378972;843.0;1;583;55607;55393;1.97;1;11;0.588;369;29.43;1.71;0.1;0.869;18.34;0.007;-0.297;Spain;43.3067;-3.6315;293;CC BY-NC-SA 4.0;Unknown yet;
005;Sakany;clean;manual correction;08 Aug 2025;6846;140.71;94;12;1776;1816;2.19;1;5;0.509;52;15.45;0.9;0.59;0.94;11.88;0.195;-0.136;France;42.8359;1.5959;138;unclear. may not be sharable;"Groupe de Recherches et d’Activités Spéléologiques de Lourdes. (2024). Base de données topographiques de la grotte Sakany (Version Version of the 25/07/2015) [GHTopo]. Examples de grotte du programme GHTopo. https://ghtopo.blog4ever.com/reseau-sakany
";
006;ReveEveille;clean;manual correction;08 Aug 2025;330;124.5;98;1;78;77;1.5;1;3;0.667;0;110.2;1.31;0.48;0.722;1.5;1.0;-1.0;Chile;-50.0657;-75.1592;145;CC BY-NC-SA 4.0;Centre Terre. (2024). Survey Data for the Ultima Patagonia Cave Exploration project [Dataset]. https://github.com/tr1813/ultima-patag;
007;Tsanfleuron;clean;manual correction;08 Aug 2025;9124;667.71;99;29;1457;1436;1.82;1;5;0.564;8;44.73;1.52;0.42;0.857;3.26;0.012;-0.322;Switzerland;46.3149;7.2739;2290;CC BY-NC-SA 4.0;Groupe de Spéléologie Rhodanien (GSR), Société Spéléologique Genevoise (SSG), Spéléo-Club Jura (SCJ), & Groupe Spéléo Lausanne (GSL). (2024). Base de données topographique des systèmes karstique du lapiaz de Tsanfleuron (Unpublished raw data). [Dataset].;Thanks to Louis Stahelin for sharing the data with us, and to the GSR (Groupe de Spéléologie Rhodanien), SSG (Société Spéléologique Genevoise), SCJ (Spéléo-Club Jura), and GSL (Groupe Spéléo Lausanne) who explored, surveyed and mapped the conduits, and whithout whom this work would not have been possible. 
008;UltimaPatagonia;clean;no correction;08 Aug 2025;38755;693.51;16;101;5447;5406;1.92;1;7;0.572;60;39.63;1.57;0.21;0.944;5.72;0.006;-0.263;Chile;-50.2946;-75.2895;141;CC BY-NC-SA 4.0;Centre Terre. (2024). Survey Data for the Ultima Patagonia Cave Exploration project [Dataset]. https://github.com/tr1813/ultima-patag;
009;Folly;clean;manual correction;08 Aug 2025;85481;1890.82;10;131;13902;13861;1.96;1;9;0.567;90;43.52;1.69;0.19;0.924;17.89;0.055;-0.199;France;46.1022;6.7796;1836;CC BY-NC-SA 4.0;Robert, X. (2021). Base de données Topographiques des systèmes karstiques du massif du Folly (Samoëns, 74, France) (Version v1.0.0) [Dataset]. Zenodo. https://doi.org/DOI: 10.5281/ZENODO.4745567';
010;PlaninaPoljana;clean;semi-automatic correction;08 Aug 2025;25221;1144.61;89;96;5284;5239;1.93;1;8;0.57;51;20.27;1.76;0.12;0.964;11.99;0.028;-0.224;Slovenia;46.1451;13.5248;1256;CC BY-NC-SA 4.0;Unknown yet;
